Model_Name,Input_Format,Dataset,x,Mean_SMAPE_Rank
GRU_Adagrad,Moving_Window,CIF,y,34
GRU_Adam,Moving_Window,CIF,y,23
GRU_Cocob,Moving_Window,CIF,y,15
LSTM_Adagrad,Moving_Window,CIF,y,33
LSTM_Adam,Moving_Window,CIF,y,1
LSTM_Cocob,Moving_Window,CIF,y,30
ERNN_Adagrad,Moving_Window,CIF,y,37
ERNN_Adam,Moving_Window,CIF,y,26
ERNN_Cocob,Moving_Window,CIF,y,8
GRU_Adagrad,Without_Moving_WIndow,CIF,y,28
GRU_Adam,Without_Moving_WIndow,CIF,y,17
GRU_Cocob,Without_Moving_WIndow,CIF,y,18
LSTM_Adagrad,Without_Moving_WIndow,CIF,y,20
LSTM_Adam,Without_Moving_WIndow,CIF,y,13
LSTM_Cocob,Without_Moving_WIndow,CIF,y,25
ERNN_Adagrad,Without_Moving_WIndow,CIF,y,22
ERNN_Adam,Without_Moving_WIndow,CIF,y,5
ERNN_Cocob,Without_Moving_WIndow,CIF,y,24
GRU_Adagrad,Moving_Window,M3,y,6
GRU_Adam,Moving_Window,M3,y,22
GRU_Cocob,Moving_Window,M3,y,16
LSTM_Adagrad,Moving_Window,M3,y,9
LSTM_Adam,Moving_Window,M3,y,20
LSTM_Cocob,Moving_Window,M3,y,12
ERNN_Adagrad,Moving_Window,M3,y,17
ERNN_Adam,Moving_Window,M3,y,36
ERNN_Cocob,Moving_Window,M3,y,19
GRU_Adagrad,Without_Moving_WIndow,M3,y,18
GRU_Adam,Without_Moving_WIndow,M3,y,24
GRU_Cocob,Without_Moving_WIndow,M3,y,11
LSTM_Adagrad,Without_Moving_WIndow,M3,y,23
LSTM_Adam,Without_Moving_WIndow,M3,y,21
LSTM_Cocob,Without_Moving_WIndow,M3,y,13
ERNN_Adagrad,Without_Moving_WIndow,M3,y,28
ERNN_Adam,Without_Moving_WIndow,M3,y,25
ERNN_Cocob,Without_Moving_WIndow,M3,y,27
GRU_Adagrad,Moving_Window,Wikipedia Web Traffic,y,31
GRU_Adam,Moving_Window,Wikipedia Web Traffic,y,29
GRU_Cocob,Moving_Window,Wikipedia Web Traffic,y,17
LSTM_Adagrad,Moving_Window,Wikipedia Web Traffic,y,28
LSTM_Adam,Moving_Window,Wikipedia Web Traffic,y,24
LSTM_Cocob,Moving_Window,Wikipedia Web Traffic,y,30
ERNN_Adagrad,Moving_Window,Wikipedia Web Traffic,y,27
ERNN_Adam,Moving_Window,Wikipedia Web Traffic,y,18
ERNN_Cocob,Moving_Window,Wikipedia Web Traffic,y,15
GRU_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,35
GRU_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,5
GRU_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,12
LSTM_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,36
LSTM_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,13
LSTM_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,21
ERNN_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,19
ERNN_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,14
ERNN_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,16
GRU_Adagrad,Moving_Window,NN5,y,23
GRU_Adam,Moving_Window,NN5,y,12
GRU_Cocob,Moving_Window,NN5,y,29
LSTM_Adagrad,Moving_Window,NN5,y,23
LSTM_Adam,Moving_Window,NN5,y,21
LSTM_Cocob,Moving_Window,NN5,y,13
ERNN_Adagrad,Moving_Window,NN5,y,19
ERNN_Adam,Moving_Window,NN5,y,37
ERNN_Cocob,Moving_Window,NN5,y,17
