Model_Name,Mean_SMAPE_Rank,RNN_Unit,Dataset,x
seq2seq_adagrad,34,GRU,CIF,y
seq2seq_adam,37,GRU,CIF,y
seq2seq_cocob,24,GRU,CIF,y
seq2seqwithdenselayer_mw_adagrad,36,GRU,CIF,y
seq2seqwithdenselayer_mw_adam,25,GRU,CIF,y
seq2seqwithdenselayer_mw_cocob,2,GRU,CIF,y
seq2seqwithdenselayer_nmw_adagrad,22,GRU,CIF,y
seq2seqwithdenselayer_nmw_adam,7,GRU,CIF,y
seq2seqwithdenselayer_nmw_cocob,12,GRU,CIF,y
stacking_adagrad,15,GRU,CIF,y
stacking_adam,18,GRU,CIF,y
stacking_cocob,14,GRU,CIF,y
seq2seq_adagrad,30,LSTM,CIF,y
seq2seq_adam,23,LSTM,CIF,y
seq2seq_cocob,28,LSTM,CIF,y
seq2seqwithdenselayer_mw_adagrad,35,LSTM,CIF,y
seq2seqwithdenselayer_mw_adam,3,LSTM,CIF,y
seq2seqwithdenselayer_mw_cocob,29,LSTM,CIF,y
seq2seqwithdenselayer_nmw_adagrad,27,LSTM,CIF,y
seq2seqwithdenselayer_nmw_adam,16,LSTM,CIF,y
seq2seqwithdenselayer_nmw_cocob,1,LSTM,CIF,y
stacking_adagrad,11,LSTM,CIF,y
stacking_adam,10,LSTM,CIF,y
stacking_cocob,6,LSTM,CIF,y
seq2seq_adagrad,21,ERNN,CIF,y
seq2seq_adam,33,ERNN,CIF,y
seq2seq_cocob,20,ERNN,CIF,y
seq2seqwithdenselayer_mw_adagrad,31,ERNN,CIF,y
seq2seqwithdenselayer_mw_adam,26,ERNN,CIF,y
seq2seqwithdenselayer_mw_cocob,8,ERNN,CIF,y
seq2seqwithdenselayer_nmw_adagrad,13,ERNN,CIF,y
seq2seqwithdenselayer_nmw_adam,4,ERNN,CIF,y
seq2seqwithdenselayer_nmw_cocob,5,ERNN,CIF,y
stacking_adagrad,17,ERNN,CIF,y
stacking_adam,9,ERNN,CIF,y
stacking_cocob,19,ERNN,CIF,y
seq2seq_adagrad,30,GRU,Wikipedia Web Traffic,y
seq2seq_adam,24,GRU,Wikipedia Web Traffic,y
seq2seq_cocob,8,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,32,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,28,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,17,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,36,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,3,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,11,GRU,Wikipedia Web Traffic,y
stacking_adagrad,9,GRU,Wikipedia Web Traffic,y
stacking_adam,5,GRU,Wikipedia Web Traffic,y
stacking_cocob,2,GRU,Wikipedia Web Traffic,y
seq2seq_adagrad,30,LSTM,Wikipedia Web Traffic,y
seq2seq_adam,21,LSTM,Wikipedia Web Traffic,y
seq2seq_cocob,37,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,29,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,26,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,34,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,35,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,12,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,23,LSTM,Wikipedia Web Traffic,y
stacking_adagrad,4,LSTM,Wikipedia Web Traffic,y
stacking_adam,6,LSTM,Wikipedia Web Traffic,y
stacking_cocob,7,LSTM,Wikipedia Web Traffic,y
seq2seq_adagrad,33,ERNN,Wikipedia Web Traffic,y
seq2seq_adam,25,ERNN,Wikipedia Web Traffic,y
seq2seq_cocob,22,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,27,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,19,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,15,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,20,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,14,ERNN,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,16,ERNN,Wikipedia Web Traffic,y
stacking_adagrad,13,ERNN,Wikipedia Web Traffic,y
stacking_adam,1,ERNN,Wikipedia Web Traffic,y
stacking_cocob,10,ERNN,Wikipedia Web Traffic,y
seq2seq_adagrad,38,GRU,M3,y
seq2seq_adam,20,GRU,M3,y
seq2seq_cocob,26,GRU,M3,y
seq2seqwithdenselayer_mw_adagrad,1,GRU,M3,y
seq2seqwithdenselayer_mw_adam,28,GRU,M3,y
seq2seqwithdenselayer_mw_cocob,11,GRU,M3,y
seq2seqwithdenselayer_nmw_adagrad,5,GRU,M3,y
seq2seqwithdenselayer_nmw_adam,15,GRU,M3,y
seq2seqwithdenselayer_nmw_cocob,9,GRU,M3,y
stacking_adagrad,17,GRU,M3,y
stacking_adam,24,GRU,M3,y
stacking_cocob,18,GRU,M3,y
seq2seq_adagrad,19,LSTM,M3,y
seq2seq_adam,33,LSTM,M3,y
seq2seq_cocob,27,LSTM,M3,y
seq2seqwithdenselayer_mw_adagrad,3,LSTM,M3,y
seq2seqwithdenselayer_mw_adam,22,LSTM,M3,y
seq2seqwithdenselayer_mw_cocob,14,LSTM,M3,y
seq2seqwithdenselayer_nmw_adagrad,10,LSTM,M3,y
seq2seqwithdenselayer_nmw_adam,16,LSTM,M3,y
seq2seqwithdenselayer_nmw_cocob,7,LSTM,M3,y
stacking_adagrad,8,LSTM,M3,y
stacking_adam,12,LSTM,M3,y
stacking_cocob,13,LSTM,M3,y
seq2seq_adagrad,34,ERNN,M3,y
seq2seq_adam,29,ERNN,M3,y
seq2seq_cocob,23,ERNN,M3,y
seq2seqwithdenselayer_mw_adagrad,6,ERNN,M3,y
seq2seqwithdenselayer_mw_adam,37,ERNN,M3,y
seq2seqwithdenselayer_mw_cocob,25,ERNN,M3,y
seq2seqwithdenselayer_nmw_adagrad,32,ERNN,M3,y
seq2seqwithdenselayer_nmw_adam,31,ERNN,M3,y
seq2seqwithdenselayer_nmw_cocob,35,ERNN,M3,y
stacking_adagrad,21,ERNN,M3,y
stacking_adam,36,ERNN,M3,y
stacking_cocob,30,ERNN,M3,y
seq2seq_adagrad,23,GRU,NN5,y
seq2seq_adam,27,GRU,NN5,y
seq2seq_cocob,25,GRU,NN5,y
seq2seqwithdenselayer_mw_adagrad,32,GRU,NN5,y
seq2seqwithdenselayer_mw_adam,13,GRU,NN5,y
seq2seqwithdenselayer_mw_cocob,22,GRU,NN5,y
seq2seqwithdenselayer_nmw_adagrad,33,GRU,NN5,y
seq2seqwithdenselayer_nmw_adam,15,GRU,NN5,y
seq2seqwithdenselayer_nmw_cocob,12,GRU,NN5,y
stacking_adagrad,4,GRU,NN5,y
stacking_adam,5,GRU,NN5,y
stacking_cocob,7,GRU,NN5,y
seq2seq_adagrad,24,LSTM,NN5,y
seq2seq_adam,34,LSTM,NN5,y
seq2seq_cocob,16,LSTM,NN5,y
seq2seqwithdenselayer_mw_adagrad,30,LSTM,NN5,y
seq2seqwithdenselayer_mw_adam,18,LSTM,NN5,y
seq2seqwithdenselayer_mw_cocob,11,LSTM,NN5,y
seq2seqwithdenselayer_nmw_adagrad,31,LSTM,NN5,y
seq2seqwithdenselayer_nmw_adam,14,LSTM,NN5,y
seq2seqwithdenselayer_nmw_cocob,21,LSTM,NN5,y
stacking_adagrad,6,LSTM,NN5,y
stacking_adam,1,LSTM,NN5,y
stacking_cocob,3,LSTM,NN5,y
seq2seq_adagrad,35,ERNN,NN5,y
seq2seq_adam,28,ERNN,NN5,y
seq2seq_cocob,20,ERNN,NN5,y
seq2seqwithdenselayer_mw_adagrad,26,ERNN,NN5,y
seq2seqwithdenselayer_mw_adam,37,ERNN,NN5,y
seq2seqwithdenselayer_mw_cocob,17,ERNN,NN5,y
seq2seqwithdenselayer_nmw_adagrad,29,ERNN,NN5,y
seq2seqwithdenselayer_nmw_adam,36,ERNN,NN5,y
seq2seqwithdenselayer_nmw_cocob,19,ERNN,NN5,y
stacking_adagrad,10,ERNN,NN5,y
stacking_adam,9,ERNN,NN5,y
stacking_cocob,8,ERNN,NN5,y
seq2seq_adagrad,20,GRU,Tourism,y
