Model_Name,Mean_SMAPE_Rank,Dataset,x,Model
Seq2Seq,33,CIF,y,With_STL
Seq2Seq,36,CIF,y,With_STL
Seq2Seq,24,CIF,y,With_STL
Seq2Seq,30,CIF,y,With_STL
Seq2Seq,23,CIF,y,With_STL
Seq2Seq,28,CIF,y,With_STL
Seq2Seq,21,CIF,y,With_STL
Seq2Seq,32,CIF,y,With_STL
Seq2Seq,20,CIF,y,With_STL
S2SD Moving Win.,35,CIF,y,With_STL
S2SD Moving Win.,25,CIF,y,With_STL
S2SD Moving Win.,2,CIF,y,With_STL
S2SD Non Moving Win.,22,CIF,y,With_STL
S2SD Non Moving Win.,7,CIF,y,With_STL
S2SD Non Moving Win.,12,CIF,y,With_STL
S2SD Moving Win.,34,CIF,y,With_STL
S2SD Moving Win.,3,CIF,y,With_STL
S2SD Moving Win.,29,CIF,y,With_STL
S2SD Non Moving Win.,27,CIF,y,With_STL
S2SD Non Moving Win.,16,CIF,y,With_STL
S2SD Non Moving Win.,1,CIF,y,With_STL
S2SD Moving Win.,31,CIF,y,With_STL
S2SD Moving Win.,26,CIF,y,With_STL
S2SD Moving Win.,8,CIF,y,With_STL
S2SD Non Moving Win.,13,CIF,y,With_STL
S2SD Non Moving Win.,4,CIF,y,With_STL
S2SD Non Moving Win.,5,CIF,y,With_STL
Stacked,15,CIF,y,With_STL
Stacked,18,CIF,y,With_STL
Stacked,14,CIF,y,With_STL
Stacked,11,CIF,y,With_STL
Stacked,10,CIF,y,With_STL
Stacked,6,CIF,y,With_STL
Stacked,17,CIF,y,With_STL
Stacked,9,CIF,y,With_STL
Stacked,19,CIF,y,With_STL
Seq2Seq,76,Wikipedia Web Traffic,y,With_STL
Seq2Seq,63,Wikipedia Web Traffic,y,With_STL
Seq2Seq,38,Wikipedia Web Traffic,y,With_STL
Seq2Seq,76,Wikipedia Web Traffic,y,With_STL
Seq2Seq,59,Wikipedia Web Traffic,y,With_STL
Seq2Seq,85,Wikipedia Web Traffic,y,With_STL
Seq2Seq,79,Wikipedia Web Traffic,y,With_STL
Seq2Seq,66,Wikipedia Web Traffic,y,With_STL
Seq2Seq,60,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,78,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,74,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,53,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,84,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,31,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,41,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,75,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,69,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,81,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,83,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,42,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,62,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,73,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,54,Wikipedia Web Traffic,y,With_STL
S2SD Moving Win.,50,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,57,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,48,Wikipedia Web Traffic,y,With_STL
S2SD Non Moving Win.,51,Wikipedia Web Traffic,y,With_STL
Stacked,39,Wikipedia Web Traffic,y,With_STL
Stacked,35,Wikipedia Web Traffic,y,With_STL
Stacked,30,Wikipedia Web Traffic,y,With_STL
Stacked,34,Wikipedia Web Traffic,y,With_STL
Stacked,36,Wikipedia Web Traffic,y,With_STL
Stacked,37,Wikipedia Web Traffic,y,With_STL
Stacked,45,Wikipedia Web Traffic,y,With_STL
Stacked,28,Wikipedia Web Traffic,y,With_STL
Stacked,40,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),32,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),20,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),24,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),23,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),25,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),27,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),33,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),29,Wikipedia Web Traffic,y,With_STL
Stacked(IW+),43,Wikipedia Web Traffic,y,With_STL
Seq2Seq,42,M3,y,With_STL
Seq2Seq,18,M3,y,With_STL
Seq2Seq,24,M3,y,With_STL
Seq2Seq,17,M3,y,With_STL
Seq2Seq,31,M3,y,With_STL
Seq2Seq,25,M3,y,With_STL
Seq2Seq,32,M3,y,With_STL
Seq2Seq,27,M3,y,With_STL
Seq2Seq,21,M3,y,With_STL
S2SD Moving Win.,1,M3,y,With_STL
S2SD Moving Win.,26,M3,y,With_STL
S2SD Moving Win.,9,M3,y,With_STL
S2SD Non Moving Win.,3,M3,y,With_STL
S2SD Non Moving Win.,13,M3,y,With_STL
S2SD Non Moving Win.,7,M3,y,With_STL
