Model_Name,GRU,LSTM,Elman RNN
attention_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.109909084337559,0.106240727403864,0.109197470936001
attention_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.110033407910644,0.10462767126757,0.110399271938499
attention_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.109463008431867,0.108413862678189,0.109110272311696
seq2seq_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.116011579898803,0.112425592311743,0.107277598334143
seq2seq_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.118336092654315,0.107772237672436,0.114735417754204
seq2seq_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.107963493835085,0.110790660110279,0.107041922604547
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.11622825457001,0.116156881375634,0.11324830553589
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.108912250996788,0.103420524067075,0.108938423921473
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.103264483222123,0.112214071911153,0.104944404295961
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.107347088943908,0.10898255588261,0.105305830567261
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.104488428297137,0.105662459842413,0.10346120133501
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.105220493068,0.102934541129939,0.103730908632639
stacking_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_with_accumulated_error,0.105469972007328,0.105218945180372,0.105802711730197
stacking_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_with_accumulated_error,0.105934420016803,0.105185470397922,0.105180279374064
stacking_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_with_accumulated_error,0.105448253850451,0.104005849624022,0.106432016880288
