Model_Name,GRU,LSTM,Elman RNN
attention_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.48561762900759,0.495264020665881,0.48577490183164
attention_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.463205260139094,0.490336516079974,0.479790568209068
attention_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.475390062983325,0.472350048395153,0.501407153383708
attention_non_moving_window_without_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.470427566436209,0.477427136008619,0.514227541544267
attention_non_moving_window_without_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.507224624359794,0.476756535644711,0.498824233903732
attention_non_moving_window_without_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.521701115976241,0.501753609705721,0.509638948629034
seq2seq_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.517653531122109,0.517653531122109,0.517894605568123
seq2seq_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.501839387396021,0.49921764839258,0.509113409658595
seq2seq_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.472301574693843,0.525298704714799,0.50025029975848
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.517657851841821,0.517625323018088,0.515762300593255
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.517624733898987,0.510935504747547,0.496072972536847
seq2seqwithdenselayer_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.488405630852826,0.518010394787977,0.480908750850511
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_without_accumulated_error,0.522848439140516,0.52280965449126,0.498670124069128
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_without_accumulated_error,0.469571715342679,0.475199059037382,0.478560206447343
seq2seqwithdenselayer_non_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_without_accumulated_error,0.47416587202751,0.501759195363439,0.481733228407466
stacking_moving_window_with_stl_decomposition_smac_adagrad_without_truncated_backpropagation_with_accumulated_error,0.472603690876976,0.47143561535834,0.476798737471024
stacking_moving_window_with_stl_decomposition_smac_adam_without_truncated_backpropagation_with_accumulated_error,0.471707524084408,0.471760686996752,0.466482463750481
stacking_moving_window_with_stl_decomposition_smac_cocob_without_truncated_backpropagation_with_accumulated_error,0.467775084503401,0.471861511411976,0.473038074155825
