Model_Name,GRU,LSTM,RNN
attention_stl_adagrad,24,28,25
attention_stl_adam,1,27,21
attention_stl_cocob,16,11,34
attention_nstl_adagrad,5,19,42
attention_nstl_adam,38,17,31
attention_nstl_cocob,51,35,40
seq2seq_adagrad,46,46,49
seq2seq_adam,37,32,39
seq2seq_cocob,10,54,33
seq2seqwithdenselayer_mw_adagrad,48,45,43
seq2seqwithdenselayer_mw_adam,44,41,29
seq2seqwithdenselayer_mw_cocob,26,50,22
seq2seqwithdenselayer_nmw_adagrad,53,52,30
seq2seqwithdenselayer_nmw_adam,4,15,20
seq2seqwithdenselayer_nmw_cocob,14,36,23
stacking_adagrad,12,6,18
stacking_adam,7,8,2
stacking_cocob,3,9,13
