Model_Name,GRU,LSTM,RNN
attention_stl_adagrad,14,30,42
attention_stl_adam,39,35,45
attention_stl_cocob,29,44,40
attention_nstl_adagrad,52,53,49
attention_nstl_adam,47,51,50
attention_nstl_cocob,54,48,55
seq2seq_adagrad,46,19,37
seq2seq_adam,20,36,31
seq2seq_cocob,26,27,23
seq2seqwithdenselayer_mw_adagrad,1,3,5
seq2seqwithdenselayer_mw_adam,28,22,43
seq2seqwithdenselayer_mw_cocob,10,13,25
seq2seqwithdenselayer_nmw_adagrad,4,9,34
seq2seqwithdenselayer_nmw_adam,15,16,33
seq2seqwithdenselayer_nmw_cocob,8,6,38
stacking_adagrad,17,7,21
stacking_adam,24,11,41
stacking_cocob,18,12,32
