Model_Name,GRU,LSTM,RNN
attention_stl_adagrad,43,42,54
attention_stl_adam,10,12,29
attention_stl_cocob,26,31,28
attention_nstl_adagrad,47,23,18
attention_nstl_adam,19,55,53
attention_nstl_cocob,52,14,16
seq2seq_adagrad,34,35,49
seq2seq_adam,38,48,39
seq2seq_cocob,36,22,30
seq2seqwithdenselayer_mw_adagrad,45,41,37
seq2seqwithdenselayer_mw_adam,17,25,51
seq2seqwithdenselayer_mw_cocob,33,13,24
seq2seqwithdenselayer_nmw_adagrad,46,44,40
seq2seqwithdenselayer_nmw_adam,21,20,50
seq2seqwithdenselayer_nmw_cocob,15,32,27
stacking_adagrad,4,6,11
stacking_adam,5,2,9
stacking_cocob,7,3,8
