Model_Name,MASE,x
RNN,0.68775,v
RNN,0.74375,v
RNN,0.57925,v
RNN,0.60725,v
RNN,0.5845,v
RNN,0.59375,v
RNN,0.6755,v
RNN,0.717,v
RNN,0.63375,v
RNN,0.723,v
RNN,0.6675,v
RNN,0.57825,v
RNN,0.6515,v
RNN,0.58175,v
RNN,0.5895,v
RNN,0.70375,v
RNN,0.55825,v
RNN,0.65425,v
RNN,0.566,v
RNN,0.573,v
RNN,0.5775,v
RNN,0.673,v
RNN,0.67625,v
RNN,0.6065,v
RNN,0.6275,v
RNN,0.57725,v
RNN,0.59025,v
RNN,0.5635,v
RNN,0.55475,v
RNN,0.56425,v
RNN,0.5605,v
RNN,0.55025,v
RNN,0.562,v
RNN,0.599,v
RNN,0.56875,v
RNN,0.5775,v
ETS,0.532,v
ARIMA,0.559,v
