Model_Name,MASE,x
RNN,0.899,v
RNN,0.878,v
RNN,0.819,v
RNN,0.899,v
RNN,0.8525,v
RNN,0.906,v
RNN,0.896,v
RNN,0.8865,v
RNN,0.87,v
RNN,0.899,v
RNN,0.901,v
RNN,0.854,v
RNN,0.9165,v
RNN,0.804,v
RNN,0.81,v
RNN,0.9,v
RNN,0.8855,v
RNN,0.9015,v
RNN,0.921,v
RNN,0.8095,v
RNN,0.8805,v
RNN,0.898,v
RNN,0.871,v
RNN,0.8235,v
RNN,0.8665,v
RNN,0.828,v
RNN,0.832,v
RNN,0.819,v
RNN,0.817,v
RNN,0.8145,v
RNN,0.8135,v
RNN,0.8135,v
RNN,0.823,v
RNN,0.815575775364446,v
RNN,0.800513698630137,v
RNN,0.809707241910632,v
RNN,0.814,v
RNN,0.798,v
RNN,0.797,v
RNN,0.802,v
RNN,0.799,v
RNN,0.8005,v
RNN,0.81,v
RNN,0.803,v
RNN,0.8205,v
ETS,0.913,v
ARIMA,0.818,v
