Model_Name,MASE,x
RNN,0.82075,v
RNN,1.3725,v
RNN,0.8605,v
RNN,0.863,v
RNN,1.197,v
RNN,0.8855,v
RNN,1.14225,v
RNN,1.015,v
RNN,0.9145,v
RNN,0.787,v
RNN,0.783,v
RNN,0.8085,v
RNN,0.8235,v
RNN,0.9055,v
RNN,0.8285,v
RNN,0.787609682000124,v
RNN,0.781457019099003,v
RNN,0.793,v
RNN,0.8205,v
RNN,0.821,v
RNN,0.825,v
RNN,0.7885,v
RNN,0.836,v
RNN,0.834,v
RNN,0.887,v
RNN,0.9235,v
RNN,0.858,v
RNN,0.826383468670715,v
RNN,0.805156377776109,v
RNN,0.819,v
RNN,0.805,v
RNN,0.827,v
RNN,0.834897884398267,v
RNN,0.8465,v
RNN,0.9125,v
RNN,0.816,v
ETS,0.735,v
ARIMA,0.727,v
