Model_Name,MASE,x
RNN,0.949,v
RNN,0.963,v
RNN,0.9415,v
RNN,0.95,v
RNN,1.003,v
RNN,0.928,v
RNN,0.9875,v
RNN,0.9545,v
RNN,1.0005,v
RNN,0.934,v
RNN,0.907,v
RNN,0.9545,v
RNN,0.934,v
RNN,0.927,v
RNN,0.884,v
RNN,0.934,v
RNN,0.964,v
RNN,0.9515,v
RNN,0.934,v
RNN,0.9095,v
RNN,0.937,v
RNN,0.9275,v
RNN,1.2165,v
RNN,0.9205,v
RNN,0.93,v
RNN,1.134,v
RNN,0.9195,v
RNN,0.844,v
RNN,0.831,v
RNN,0.8215,v
RNN,0.832,v
RNN,0.817,v
RNN,0.814,v
RNN,0.852,v
RNN,0.8445,v
RNN,0.8455,v
RNN,0.834,v
RNN,0.885,v
RNN,0.832,v
RNN,0.833,v
RNN,0.841,v
RNN,0.822,v
RNN,0.838,v
RNN,0.837,v
RNN,0.835,v
ETS,0.809,v
ARIMA,1.379,v
