Model_Name,SMAPE,x,Dataset
Seq2Seq,17,v,T
Seq2Seq,22,v,T
Seq2Seq,14,v,T
Seq2Seq,29,v,T
Seq2Seq,11,v,T
Seq2Seq,21,v,T
Seq2Seq,23,v,T
Seq2Seq,24,v,T
Seq2Seq,32,v,T
S2SD Moving Win.,4,v,T
S2SD Moving Win.,2,v,T
S2SD Moving Win.,5,v,T
S2SD Non Moving Win.,30,v,T
S2SD Non Moving Win.,25,v,T
S2SD Non Moving Win.,26,v,T
S2SD Moving Win.,18,v,T
S2SD Moving Win.,20,v,T
S2SD Moving Win.,7,v,T
S2SD Non Moving Win.,12,v,T
S2SD Non Moving Win.,13,v,T
S2SD Non Moving Win.,16,v,T
S2SD Moving Win.,6,v,T
S2SD Moving Win.,9,v,T
S2SD Moving Win.,3,v,T
S2SD Non Moving Win.,38,v,T
S2SD Non Moving Win.,15,v,T
S2SD Non Moving Win.,8,v,T
Stacked,31,v,T
Stacked,35,v,T
Stacked,34,v,T
Stacked,19,v,T
Stacked,37,v,T
Stacked,28,v,T
Stacked,27,v,T
Stacked,36,v,T
Stacked,33,v,T
Seq2Seq,12,v,M4
Seq2Seq,37,v,M4
Seq2Seq,20,v,M4
Seq2Seq,32,v,M4
Seq2Seq,36,v,M4
Seq2Seq,29,v,M4
Seq2Seq,38,v,M4
Seq2Seq,33,v,M4
Seq2Seq,30,v,M4
S2SD Moving Win.,3,v,M4
S2SD Moving Win.,8,v,M4
S2SD Moving Win.,13,v,M4
S2SD Non Moving Win.,11,v,M4
S2SD Non Moving Win.,34,v,M4
S2SD Non Moving Win.,16,v,M4
S2SD Moving Win.,4,v,M4
S2SD Moving Win.,7,v,M4
S2SD Moving Win.,6,v,M4
S2SD Non Moving Win.,9,v,M4
S2SD Non Moving Win.,10,v,M4
S2SD Non Moving Win.,14,v,M4
S2SD Moving Win.,5,v,M4
S2SD Moving Win.,21,v,M4
S2SD Moving Win.,24,v,M4
S2SD Non Moving Win.,26,v,M4
S2SD Non Moving Win.,31,v,M4
S2SD Non Moving Win.,17,v,M4
Stacked,18,v,M4
Stacked,19,v,M4
Stacked,23,v,M4
Stacked,15,v,M4
Stacked,22,v,M4
Stacked,28,v,M4
Stacked,27,v,M4
Stacked,35,v,M4
Stacked,25,v,M4
Seq2Seq,31,v,C
Seq2Seq,35,v,C
Seq2Seq,21,v,C
Seq2Seq,27,v,C
Seq2Seq,14,v,C
Seq2Seq,19,v,C
Seq2Seq,32,v,C
Seq2Seq,36,v,C
Seq2Seq,38,v,C
S2SD Moving Win.,34,v,C
S2SD Moving Win.,23,v,C
S2SD Moving Win.,15,v,C
S2SD Non Moving Win.,28,v,C
S2SD Non Moving Win.,17,v,C
S2SD Non Moving Win.,18,v,C
S2SD Moving Win.,33,v,C
S2SD Moving Win.,1,v,C
S2SD Moving Win.,30,v,C
S2SD Non Moving Win.,20,v,C
S2SD Non Moving Win.,13,v,C
S2SD Non Moving Win.,25,v,C
S2SD Moving Win.,37,v,C
S2SD Moving Win.,26,v,C
S2SD Moving Win.,8,v,C
S2SD Non Moving Win.,22,v,C
S2SD Non Moving Win.,5,v,C
S2SD Non Moving Win.,24,v,C
Stacked,7,v,C
Stacked,16,v,C
Stacked,6,v,C
Stacked,4,v,C
Stacked,3,v,C
Stacked,2,v,C
Stacked,10,v,C
Stacked,9,v,C
Stacked,11,v,C
Seq2Seq,32,v,W
Seq2Seq,23,v,W
Seq2Seq,10,v,W
Seq2Seq,32,v,W
Seq2Seq,20,v,W
Seq2Seq,37,v,W
Seq2Seq,26,v,W
Seq2Seq,25,v,W
Seq2Seq,22,v,W
S2SD Moving Win.,31,v,W
S2SD Moving Win.,29,v,W
S2SD Moving Win.,17,v,W
S2SD Non Moving Win.,35,v,W
S2SD Non Moving Win.,5,v,W
S2SD Non Moving Win.,12,v,W
S2SD Moving Win.,28,v,W
