Model_Name,MASE,x
RNN,1.47925,v
RNN,1.45125,v
RNN,1.48625,v
RNN,1.5275,v
RNN,1.46075,v
RNN,1.50575,v
RNN,1.5135,v
RNN,1.457,v
RNN,1.6495,v
RNN,1.42975,v
RNN,1.38275,v
RNN,1.437,v
RNN,1.57075,v
RNN,1.545,v
RNN,1.5345,v
RNN,1.50925,v
RNN,1.5045,v
RNN,1.421,v
RNN,1.50825,v
RNN,1.482,v
RNN,1.5035,v
RNN,1.439,v
RNN,1.46925,v
RNN,1.41675,v
RNN,1.80375,v
RNN,1.52125,v
RNN,1.4405,v
RNN,1.5365,v
RNN,1.551,v
RNN,1.54025,v
RNN,1.4775,v
RNN,1.6025,v
RNN,1.493,v
RNN,1.4935,v
RNN,1.58,v
RNN,1.52675,v
ETS,1.2755,v
ARIMA,1.369,v
