Model_Name,MASE,x,Model
Seq2Seq,0.946138888888889,v,With STL Decomposition
Seq2Seq,1.006375,v,With STL Decomposition
Seq2Seq,0.887215277777778,v,With STL Decomposition
Seq2Seq,0.910076388888889,v,With STL Decomposition
Seq2Seq,0.848111111111111,v,With STL Decomposition
Seq2Seq,0.872402777777778,v,With STL Decomposition
Seq2Seq,0.959034722222222,v,With STL Decomposition
Seq2Seq,1.01609027777778,v,With STL Decomposition
Seq2Seq,1.03234027777778,v,With STL Decomposition
S2SD Moving Win.,0.994854166666667,v,With STL Decomposition
S2SD Moving Win.,0.889423611111111,v,With STL Decomposition
S2SD Moving Win.,0.849680555555555,v,With STL Decomposition
S2SD Non Moving Win.,0.91225,v,With STL Decomposition
S2SD Non Moving Win.,0.8510625,v,With STL Decomposition
S2SD Non Moving Win.,0.856868055555556,v,With STL Decomposition
S2SD Moving Win.,0.978729166666667,v,With STL Decomposition
S2SD Moving Win.,0.812118055555555,v,With STL Decomposition
S2SD Moving Win.,0.938048611111111,v,With STL Decomposition
S2SD Non Moving Win.,0.886069444444444,v,With STL Decomposition
S2SD Non Moving Win.,0.844944444444444,v,With STL Decomposition
S2SD Non Moving Win.,0.897055555555556,v,With STL Decomposition
S2SD Moving Win.,1.02068055555556,v,With STL Decomposition
S2SD Moving Win.,0.903479166666667,v,With STL Decomposition
S2SD Moving Win.,0.826159722222222,v,With STL Decomposition
S2SD Non Moving Win.,0.888,v,With STL Decomposition
S2SD Non Moving Win.,0.819243055555555,v,With STL Decomposition
S2SD Non Moving Win.,0.891222222222222,v,With STL Decomposition
Stacked,0.820145833333333,v,With STL Decomposition
Stacked,0.849979166666667,v,With STL Decomposition
Stacked,0.819763888888889,v,With STL Decomposition
Stacked,0.818201388888889,v,With STL Decomposition
Stacked,0.815763888888889,v,With STL Decomposition
Stacked,0.8124375,v,With STL Decomposition
Stacked,0.830208333333333,v,With STL Decomposition
Stacked,0.826333333333333,v,With STL Decomposition
Stacked,0.83675,v,With STL Decomposition
Seq2Seq,2.18348233615955,v,Without STL Decomposition
Seq2Seq,1.64163000899849,v,Without STL Decomposition
Seq2Seq,1.99859339767503,v,Without STL Decomposition
Seq2Seq,1.96347104560185,v,Without STL Decomposition
Seq2Seq,1.51024714208932,v,Without STL Decomposition
Seq2Seq,1.77510379677014,v,Without STL Decomposition
Seq2Seq,2.08002057181189,v,Without STL Decomposition
Seq2Seq,1.6299502736178,v,Without STL Decomposition
Seq2Seq,2.06521690075981,v,Without STL Decomposition
S2SD Moving Win.,1.51472132431661,v,Without STL Decomposition
S2SD Moving Win.,1.20992706577645,v,Without STL Decomposition
S2SD Moving Win.,1.71319534899896,v,Without STL Decomposition
S2SD Non Moving Win.,1.18515953944568,v,Without STL Decomposition
S2SD Non Moving Win.,1.79634359459403,v,Without STL Decomposition
S2SD Non Moving Win.,1.31582250231612,v,Without STL Decomposition
S2SD Moving Win.,2.74680462976127,v,Without STL Decomposition
S2SD Moving Win.,1.30335957883626,v,Without STL Decomposition
S2SD Moving Win.,1.80402118609473,v,Without STL Decomposition
S2SD Non Moving Win.,1.27072664581595,v,Without STL Decomposition
S2SD Non Moving Win.,1.28100424594855,v,Without STL Decomposition
S2SD Non Moving Win.,2.267375023294,v,Without STL Decomposition
S2SD Moving Win.,1.80504403241549,v,Without STL Decomposition
S2SD Moving Win.,1.23388005375798,v,Without STL Decomposition
S2SD Moving Win.,1.38517527453407,v,Without STL Decomposition
S2SD Non Moving Win.,1.63418028172787,v,Without STL Decomposition
S2SD Non Moving Win.,1.33916684200448,v,Without STL Decomposition
S2SD Non Moving Win.,1.22421736774543,v,Without STL Decomposition
Stacked,1.62096967311245,v,Without STL Decomposition
Stacked,1.52998752590918,v,Without STL Decomposition
Stacked,1.68543140081718,v,Without STL Decomposition
Stacked,1.51354279178055,v,Without STL Decomposition
Stacked,1.52588329305851,v,Without STL Decomposition
Stacked,1.41865566076509,v,Without STL Decomposition
Stacked,1.06864978836244,v,Without STL Decomposition
Stacked,1.59666336918203,v,Without STL Decomposition
Stacked,1.34920287090296,v,Without STL Decomposition
