Model_Name,SMAPE,x,Model
Seq2Seq,0.116011579898803,v,With STL Decomposition
Seq2Seq,0.118336092654315,v,With STL Decomposition
Seq2Seq,0.107963493835085,v,With STL Decomposition
Seq2Seq,0.112425592311743,v,With STL Decomposition
Seq2Seq,0.107772237672436,v,With STL Decomposition
Seq2Seq,0.110790660110279,v,With STL Decomposition
Seq2Seq,0.107277598334143,v,With STL Decomposition
Seq2Seq,0.114735417754204,v,With STL Decomposition
Seq2Seq,0.107041922604547,v,With STL Decomposition
S2SD Moving Win.,0.11622825457001,v,With STL Decomposition
S2SD Moving Win.,0.108912250996788,v,With STL Decomposition
S2SD Moving Win.,0.103264483222123,v,With STL Decomposition
S2SD Non Moving Win.,0.107347088943908,v,With STL Decomposition
S2SD Non Moving Win.,0.104488428297137,v,With STL Decomposition
S2SD Non Moving Win.,0.105220493068,v,With STL Decomposition
S2SD Moving Win.,0.116156881375634,v,With STL Decomposition
S2SD Moving Win.,0.103420524067075,v,With STL Decomposition
S2SD Moving Win.,0.112214071911153,v,With STL Decomposition
S2SD Non Moving Win.,0.10898255588261,v,With STL Decomposition
S2SD Non Moving Win.,0.105662459842413,v,With STL Decomposition
S2SD Non Moving Win.,0.102934541129939,v,With STL Decomposition
S2SD Moving Win.,0.11324830553589,v,With STL Decomposition
S2SD Moving Win.,0.108938423921473,v,With STL Decomposition
S2SD Moving Win.,0.104944404295961,v,With STL Decomposition
S2SD Non Moving Win.,0.105305830567261,v,With STL Decomposition
S2SD Non Moving Win.,0.10346120133501,v,With STL Decomposition
S2SD Non Moving Win.,0.103730908632639,v,With STL Decomposition
Stacked,0.105469972007328,v,With STL Decomposition
Stacked,0.105934420016803,v,With STL Decomposition
Stacked,0.105448253850451,v,With STL Decomposition
Stacked,0.105218945180372,v,With STL Decomposition
Stacked,0.105185470397922,v,With STL Decomposition
Stacked,0.104005849624022,v,With STL Decomposition
Stacked,0.105802711730197,v,With STL Decomposition
Stacked,0.105180279374064,v,With STL Decomposition
Stacked,0.106432016880288,v,With STL Decomposition
Seq2Seq,0.201203672988119,v,Without STL Decomposition
Seq2Seq,0.171386441122374,v,Without STL Decomposition
Seq2Seq,0.181671998138938,v,Without STL Decomposition
Seq2Seq,0.176273068947042,v,Without STL Decomposition
Seq2Seq,0.163711460726998,v,Without STL Decomposition
Seq2Seq,0.181081909170102,v,Without STL Decomposition
Seq2Seq,0.207090224903853,v,Without STL Decomposition
Seq2Seq,0.187905704884243,v,Without STL Decomposition
Seq2Seq,0.18632936312723,v,Without STL Decomposition
S2SD Moving Win.,0.164193880853187,v,Without STL Decomposition
S2SD Moving Win.,0.143064386019224,v,Without STL Decomposition
S2SD Moving Win.,0.17650492666742,v,Without STL Decomposition
S2SD Non Moving Win.,0.145761886603515,v,Without STL Decomposition
S2SD Non Moving Win.,0.17103962469296,v,Without STL Decomposition
S2SD Non Moving Win.,0.151651039918982,v,Without STL Decomposition
S2SD Moving Win.,0.27114078892322,v,Without STL Decomposition
S2SD Moving Win.,0.155129615422742,v,Without STL Decomposition
S2SD Moving Win.,0.188556225412532,v,Without STL Decomposition
S2SD Non Moving Win.,0.15054297229562,v,Without STL Decomposition
S2SD Non Moving Win.,0.150243870770863,v,Without STL Decomposition
S2SD Non Moving Win.,0.230029718387842,v,Without STL Decomposition
S2SD Moving Win.,0.19452771802493,v,Without STL Decomposition
S2SD Moving Win.,0.144873362916587,v,Without STL Decomposition
S2SD Moving Win.,0.153106232045683,v,Without STL Decomposition
S2SD Non Moving Win.,0.16949323689244,v,Without STL Decomposition
S2SD Non Moving Win.,0.152766063260252,v,Without STL Decomposition
S2SD Non Moving Win.,0.145899857839706,v,Without STL Decomposition
Stacked,0.167605095804849,v,Without STL Decomposition
Stacked,0.17382041482869,v,Without STL Decomposition
Stacked,0.177609130674251,v,Without STL Decomposition
Stacked,0.171045681964383,v,Without STL Decomposition
Stacked,0.16839823517863,v,Without STL Decomposition
Stacked,0.155729956592569,v,Without STL Decomposition
Stacked,0.136525937228657,v,Without STL Decomposition
Stacked,0.164590505426405,v,Without STL Decomposition
Stacked,0.157910929970658,v,Without STL Decomposition
