Model_Name,MASE,x,Model
Seq2Seq,1.42845336008024,v,With STL Decomposition
Seq2Seq,1.36484002006018,v,With STL Decomposition
Seq2Seq,1.25456920762287,v,With STL Decomposition
Seq2Seq,1.42845336008024,v,With STL Decomposition
Seq2Seq,1.34690120361083,v,With STL Decomposition
Seq2Seq,1.4530220661986,v,With STL Decomposition
Seq2Seq,1.40596940822467,v,With STL Decomposition
Seq2Seq,1.39440571715145,v,With STL Decomposition
Seq2Seq,1.35770260782347,v,With STL Decomposition
S2SD Moving Win.,1.42843881644935,v,With STL Decomposition
S2SD Moving Win.,1.42801955867603,v,With STL Decomposition
S2SD Moving Win.,1.29627382146439,v,With STL Decomposition
S2SD Non Moving Win.,1.43645235707121,v,With STL Decomposition
S2SD Non Moving Win.,1.2433445336008,v,With STL Decomposition
S2SD Non Moving Win.,1.26245235707121,v,With STL Decomposition
S2SD Moving Win.,1.42757723169509,v,With STL Decomposition
S2SD Moving Win.,1.39268104312939,v,With STL Decomposition
S2SD Moving Win.,1.42813841524574,v,With STL Decomposition
S2SD Non Moving Win.,1.43655315947844,v,With STL Decomposition
S2SD Non Moving Win.,1.26574874623872,v,With STL Decomposition
S2SD Non Moving Win.,1.35425827482447,v,With STL Decomposition
S2SD Moving Win.,1.42143630892678,v,With STL Decomposition
S2SD Moving Win.,1.32801705115346,v,With STL Decomposition
S2SD Moving Win.,1.28679588766299,v,With STL Decomposition
S2SD Non Moving Win.,1.34427733199599,v,With STL Decomposition
S2SD Non Moving Win.,1.27456369107322,v,With STL Decomposition
S2SD Non Moving Win.,1.29087161484453,v,With STL Decomposition
Stacked,1.25472417251755,v,With STL Decomposition
Stacked,1.25059177532598,v,With STL Decomposition
Stacked,1.23727482447342,v,With STL Decomposition
Stacked,1.25080692076229,v,With STL Decomposition
Stacked,1.25158425275827,v,With STL Decomposition
Stacked,1.24721213640923,v,With STL Decomposition
Stacked,0.795940373418334,v,With STL Decomposition
Stacked,0.779144426045195,v,With STL Decomposition
Stacked,0.789677784964791,v,With STL Decomposition
Stacked(IW+),1.25140270812437,v,With STL Decomposition
Stacked(IW+),1.23194032096289,v,With STL Decomposition
Stacked(IW+),1.2347778335005,v,With STL Decomposition
Stacked(IW+),1.22842276830492,v,With STL Decomposition
Stacked(IW+),1.22841624874624,v,With STL Decomposition
Stacked(IW+),1.23500050150451,v,With STL Decomposition
Stacked(IW+),1.26492326980943,v,With STL Decomposition
Stacked(IW+),1.25333851554664,v,With STL Decomposition
Stacked(IW+),1.27234653961886,v,With STL Decomposition
Seq2Seq,1.51761788174272,v,Without STL Decomposition
Seq2Seq,1.28608067325484,v,Without STL Decomposition
Seq2Seq,1.31995249405692,v,Without STL Decomposition
Seq2Seq,1.54714828046032,v,Without STL Decomposition
Seq2Seq,1.24249973981743,v,Without STL Decomposition
Seq2Seq,1.51023078784084,v,Without STL Decomposition
Seq2Seq,1.30974809647503,v,Without STL Decomposition
Seq2Seq,1.27065159979481,v,Without STL Decomposition
Seq2Seq,1.30299919152602,v,Without STL Decomposition
S2SD Moving Win.,1.28690617784713,v,Without STL Decomposition
S2SD Moving Win.,1.29244012108587,v,Without STL Decomposition
S2SD Moving Win.,1.30033264523997,v,Without STL Decomposition
S2SD Non Moving Win.,1.21596303761213,v,Without STL Decomposition
S2SD Non Moving Win.,1.20682847553711,v,Without STL Decomposition
S2SD Non Moving Win.,1.22845670713428,v,Without STL Decomposition
S2SD Moving Win.,1.28848244202701,v,Without STL Decomposition
S2SD Moving Win.,1.28679878827961,v,Without STL Decomposition
S2SD Moving Win.,1.27248370001944,v,Without STL Decomposition
S2SD Non Moving Win.,1.27007473778224,v,Without STL Decomposition
S2SD Non Moving Win.,1.20920110751379,v,Without STL Decomposition
S2SD Non Moving Win.,1.23657432570976,v,Without STL Decomposition
S2SD Moving Win.,1.27848333861767,v,Without STL Decomposition
S2SD Moving Win.,1.2616509442223,v,Without STL Decomposition
S2SD Moving Win.,1.28574914313604,v,Without STL Decomposition
S2SD Non Moving Win.,1.23692214458725,v,Without STL Decomposition
S2SD Non Moving Win.,1.21476005558106,v,Without STL Decomposition
S2SD Non Moving Win.,1.24526716965759,v,Without STL Decomposition
Stacked,1.20482545726533,v,Without STL Decomposition
Stacked,1.20573854711281,v,Without STL Decomposition
Stacked,1.22256320511202,v,Without STL Decomposition
Stacked,1.20976481677415,v,Without STL Decomposition
Stacked,1.21570820476293,v,Without STL Decomposition
Stacked,1.21463030366574,v,Without STL Decomposition
Stacked,1.21476062257568,v,Without STL Decomposition
Stacked,1.20252578276345,v,Without STL Decomposition
Stacked,1.21524813218832,v,Without STL Decomposition
Stacked(IW+),1.21063932417668,v,Without STL Decomposition
Stacked(IW+),1.2060148145019,v,Without STL Decomposition
Stacked(IW+),1.21594757130255,v,Without STL Decomposition
Stacked(IW+),1.20771836252787,v,Without STL Decomposition
Stacked(IW+),1.21037317955333,v,Without STL Decomposition
Stacked(IW+),1.21565070309927,v,Without STL Decomposition
Stacked(IW+),1.2090795899188,v,Without STL Decomposition
Stacked(IW+),1.21228243487258,v,Without STL Decomposition
Stacked(IW+),1.20740528368992,v,Without STL Decomposition
