Model_Name,SMAPE,x,Model
Seq2Seq,0.135419871011002,v,With STL Decomposition
Seq2Seq,0.158951856836344,v,With STL Decomposition
Seq2Seq,0.136239987001888,v,With STL Decomposition
Seq2Seq,0.141335867710548,v,With STL Decomposition
Seq2Seq,0.155147354206356,v,With STL Decomposition
Seq2Seq,0.140174613476415,v,With STL Decomposition
Seq2Seq,0.173471494446478,v,With STL Decomposition
Seq2Seq,0.145417819800434,v,With STL Decomposition
Seq2Seq,0.138710210421196,v,With STL Decomposition
S2SD Moving Win.,0.133776963262786,v,With STL Decomposition
S2SD Moving Win.,0.137900445510657,v,With STL Decomposition
S2SD Moving Win.,0.135834978915794,v,With STL Decomposition
S2SD Non Moving Win.,0.135127654042459,v,With STL Decomposition
S2SD Non Moving Win.,0.144774323608255,v,With STL Decomposition
S2SD Non Moving Win.,0.13753573005761,v,With STL Decomposition
S2SD Moving Win.,0.133895261554463,v,With STL Decomposition
S2SD Moving Win.,0.137600639841023,v,With STL Decomposition
S2SD Moving Win.,0.136063704183288,v,With STL Decomposition
S2SD Non Moving Win.,0.13503877590014,v,With STL Decomposition
S2SD Non Moving Win.,0.136567840317568,v,With STL Decomposition
S2SD Non Moving Win.,0.136632552687824,v,With STL Decomposition
S2SD Moving Win.,0.134207331039522,v,With STL Decomposition
S2SD Moving Win.,0.140406745152605,v,With STL Decomposition
S2SD Moving Win.,0.140627930473983,v,With STL Decomposition
S2SD Non Moving Win.,0.137119741602528,v,With STL Decomposition
S2SD Non Moving Win.,0.144591200449813,v,With STL Decomposition
S2SD Non Moving Win.,0.136269833785275,v,With STL Decomposition
Stacked,0.141513223166871,v,With STL Decomposition
Stacked,0.142802920766752,v,With STL Decomposition
Stacked,0.145756985222728,v,With STL Decomposition
Stacked,0.139726028943749,v,With STL Decomposition
Stacked,0.142715060314926,v,With STL Decomposition
Stacked,0.145193918575236,v,With STL Decomposition
Stacked,0.143036996993788,v,With STL Decomposition
Stacked,0.16437081337422,v,With STL Decomposition
Stacked,0.142633893690366,v,With STL Decomposition
S2SD Moving Win.,0.194768498570563,v,Without STL Decomposition
Stacked,0.177315627332566,v,Without STL Decomposition
