Model_Name,SMAPE,x,Model
Seq2Seq,0.283337747162148,v,With STL Decomposition
Seq2Seq,0.286307741215916,v,With STL Decomposition
Seq2Seq,0.283793972565487,v,With STL Decomposition
Seq2Seq,0.283435018639181,v,With STL Decomposition
Seq2Seq,0.295050548255238,v,With STL Decomposition
Seq2Seq,0.256406402522637,v,With STL Decomposition
Seq2Seq,0.29870736441768,v,With STL Decomposition
Seq2Seq,0.286472225593538,v,With STL Decomposition
Seq2Seq,0.274333564751007,v,With STL Decomposition
S2SD Moving Win.,0.287269474434069,v,With STL Decomposition
S2SD Moving Win.,0.252153725357817,v,With STL Decomposition
S2SD Moving Win.,0.279564965260503,v,With STL Decomposition
S2SD Non Moving Win.,0.287269477799089,v,With STL Decomposition
S2SD Non Moving Win.,0.256309847022717,v,With STL Decomposition
S2SD Non Moving Win.,0.248565256666981,v,With STL Decomposition
S2SD Moving Win.,0.287269429302245,v,With STL Decomposition
S2SD Moving Win.,0.265025685600228,v,With STL Decomposition
S2SD Moving Win.,0.244259215633965,v,With STL Decomposition
S2SD Non Moving Win.,0.287269473167478,v,With STL Decomposition
S2SD Non Moving Win.,0.256103343715735,v,With STL Decomposition
S2SD Non Moving Win.,0.277769184076201,v,With STL Decomposition
S2SD Moving Win.,0.286031413376513,v,With STL Decomposition
S2SD Moving Win.,0.325843242317527,v,With STL Decomposition
S2SD Moving Win.,0.259859418117773,v,With STL Decomposition
S2SD Non Moving Win.,0.286711041651534,v,With STL Decomposition
S2SD Non Moving Win.,0.306152121032417,v,With STL Decomposition
S2SD Non Moving Win.,0.265702297357412,v,With STL Decomposition
Stacked,0.218547633455007,v,With STL Decomposition
Stacked,0.219365174871658,v,With STL Decomposition
Stacked,0.221902131692841,v,With STL Decomposition
Stacked,0.221305015614678,v,With STL Decomposition
Stacked,0.215497168587209,v,With STL Decomposition
Stacked,0.216233801304806,v,With STL Decomposition
Stacked,0.239011190018996,v,With STL Decomposition
Stacked,0.23755442156104,v,With STL Decomposition
Stacked,0.236854757906039,v,With STL Decomposition
Stacked(IW+),0.234317887941128,v,With STL Decomposition
Stacked(IW+),0.250481867829026,v,With STL Decomposition
Stacked(IW+),0.219421904984975,v,With STL Decomposition
Stacked(IW+),0.229749087759762,v,With STL Decomposition
Stacked(IW+),0.216126159687078,v,With STL Decomposition
Stacked(IW+),0.215476163227687,v,With STL Decomposition
Stacked(IW+),0.229787487732376,v,With STL Decomposition
Stacked(IW+),0.225392139434834,v,With STL Decomposition
Stacked(IW+),0.231643138850983,v,With STL Decomposition
Seq2Seq,0.325382743735148,v,Without STL Decomposition
Seq2Seq,0.293253076326042,v,Without STL Decomposition
Seq2Seq,0.263423479908043,v,Without STL Decomposition
Seq2Seq,0.300254704402085,v,Without STL Decomposition
Seq2Seq,0.389234934839806,v,Without STL Decomposition
Seq2Seq,0.324951269170975,v,Without STL Decomposition
Seq2Seq,0.272624406256219,v,Without STL Decomposition
Seq2Seq,0.307885051229063,v,Without STL Decomposition
Seq2Seq,0.32034634532935,v,Without STL Decomposition
S2SD Moving Win.,0.244832412907258,v,Without STL Decomposition
S2SD Moving Win.,0.240896137572879,v,Without STL Decomposition
S2SD Moving Win.,0.243186417127553,v,Without STL Decomposition
S2SD Non Moving Win.,0.254262726654542,v,Without STL Decomposition
S2SD Non Moving Win.,0.2422487071963,v,Without STL Decomposition
S2SD Non Moving Win.,0.248538109580093,v,Without STL Decomposition
S2SD Moving Win.,0.409635124578765,v,Without STL Decomposition
S2SD Moving Win.,0.25771552479308,v,Without STL Decomposition
S2SD Moving Win.,0.241452943196502,v,Without STL Decomposition
S2SD Non Moving Win.,0.250345022747659,v,Without STL Decomposition
S2SD Non Moving Win.,0.248677460415593,v,Without STL Decomposition
S2SD Non Moving Win.,0.253964821146874,v,Without STL Decomposition
S2SD Moving Win.,0.273448489101274,v,Without STL Decomposition
S2SD Moving Win.,0.245586956578084,v,Without STL Decomposition
S2SD Moving Win.,0.251813858418474,v,Without STL Decomposition
S2SD Non Moving Win.,0.334568587257043,v,Without STL Decomposition
S2SD Non Moving Win.,0.234756370820971,v,Without STL Decomposition
S2SD Non Moving Win.,0.235384785887082,v,Without STL Decomposition
Stacked,0.246557470272458,v,Without STL Decomposition
Stacked,0.236545979982734,v,Without STL Decomposition
Stacked,0.237938590309518,v,Without STL Decomposition
Stacked,0.258729953787433,v,Without STL Decomposition
Stacked,0.251070784841611,v,Without STL Decomposition
Stacked,0.268130693214332,v,Without STL Decomposition
Stacked,0.247508181569298,v,Without STL Decomposition
Stacked,0.230802866470352,v,Without STL Decomposition
Stacked,0.23801736900964,v,Without STL Decomposition
Stacked(IW+),0.240330689469914,v,Without STL Decomposition
Stacked(IW+),0.223269452732639,v,Without STL Decomposition
Stacked(IW+),0.229048077899287,v,Without STL Decomposition
Stacked(IW+),0.234279325693788,v,Without STL Decomposition
Stacked(IW+),0.225800952927106,v,Without STL Decomposition
Stacked(IW+),0.227737541546884,v,Without STL Decomposition
Stacked(IW+),0.23276133607948,v,Without STL Decomposition
Stacked(IW+),0.221981836082223,v,Without STL Decomposition
Stacked(IW+),0.229008516797208,v,Without STL Decomposition
