Model_Name,MASE,x,Model
Seq2Seq,1.7425150273224,v,With STL Decomposition
Seq2Seq,1.75678825136612,v,With STL Decomposition
Seq2Seq,1.73804644808743,v,With STL Decomposition
Seq2Seq,1.8116174863388,v,With STL Decomposition
Seq2Seq,1.70575683060109,v,With STL Decomposition
Seq2Seq,1.74937431693989,v,With STL Decomposition
Seq2Seq,1.75713661202186,v,With STL Decomposition
Seq2Seq,1.75753961748634,v,With STL Decomposition
Seq2Seq,1.83356147540984,v,With STL Decomposition
S2SD Moving Win.,1.62034699453552,v,With STL Decomposition
S2SD Moving Win.,1.59099043715847,v,With STL Decomposition
S2SD Moving Win.,1.63225273224044,v,With STL Decomposition
S2SD Non Moving Win.,1.82354098360656,v,With STL Decomposition
S2SD Non Moving Win.,1.76393989071038,v,With STL Decomposition
S2SD Non Moving Win.,1.79640027322404,v,With STL Decomposition
S2SD Moving Win.,1.74258196721311,v,With STL Decomposition
S2SD Moving Win.,1.74596994535519,v,With STL Decomposition
S2SD Moving Win.,1.65030737704918,v,With STL Decomposition
S2SD Non Moving Win.,1.72081693989071,v,With STL Decomposition
S2SD Non Moving Win.,1.72951229508197,v,With STL Decomposition
S2SD Non Moving Win.,1.74009153005464,v,With STL Decomposition
S2SD Moving Win.,1.63841530054645,v,With STL Decomposition
S2SD Moving Win.,1.66273633879781,v,With STL Decomposition
S2SD Moving Win.,1.61759016393443,v,With STL Decomposition
S2SD Non Moving Win.,2.00860109289617,v,With STL Decomposition
S2SD Non Moving Win.,1.73973360655738,v,With STL Decomposition
S2SD Non Moving Win.,1.66106010928962,v,With STL Decomposition
Stacked,1.82779371584699,v,With STL Decomposition
Stacked,1.90173770491803,v,With STL Decomposition
Stacked,1.87045901639344,v,With STL Decomposition
Stacked,1.74423770491803,v,With STL Decomposition
Stacked,1.95821721311475,v,With STL Decomposition
Stacked,1.81093852459016,v,With STL Decomposition
Stacked,1.80723360655738,v,With STL Decomposition
Stacked,1.93704644808743,v,With STL Decomposition
Stacked,1.85370765027322,v,With STL Decomposition
Seq2Seq,9.75239890710382,v,Without STL Decomposition
Seq2Seq,4.21633743169399,v,Without STL Decomposition
Seq2Seq,6.76899453551913,v,Without STL Decomposition
Seq2Seq,3.7274043715847,v,Without STL Decomposition
Seq2Seq,3.11732513661202,v,Without STL Decomposition
Seq2Seq,4.25619672131148,v,Without STL Decomposition
Seq2Seq,4.7235737704918,v,Without STL Decomposition
Seq2Seq,4.5838456284153,v,Without STL Decomposition
Seq2Seq,3.94853551912568,v,Without STL Decomposition
S2SD Moving Win.,9.75239890710382,v,Without STL Decomposition
S2SD Moving Win.,3.23429781420765,v,Without STL Decomposition
S2SD Moving Win.,3.37142076502732,v,Without STL Decomposition
S2SD Non Moving Win.,9.75239890710382,v,Without STL Decomposition
S2SD Non Moving Win.,3.47184836065574,v,Without STL Decomposition
S2SD Non Moving Win.,2.84544398907104,v,Without STL Decomposition
S2SD Moving Win.,3.5771912568306,v,Without STL Decomposition
S2SD Moving Win.,3.49610245901639,v,Without STL Decomposition
S2SD Moving Win.,2.08432650273224,v,Without STL Decomposition
S2SD Non Moving Win.,2.26929508196721,v,Without STL Decomposition
S2SD Non Moving Win.,2.16250136612022,v,Without STL Decomposition
S2SD Non Moving Win.,2.8596393442623,v,Without STL Decomposition
S2SD Moving Win.,1.95250546448087,v,Without STL Decomposition
S2SD Moving Win.,3.4091762295082,v,Without STL Decomposition
S2SD Moving Win.,2.38778825136612,v,Without STL Decomposition
S2SD Non Moving Win.,3.54131147540984,v,Without STL Decomposition
S2SD Non Moving Win.,2.62050546448087,v,Without STL Decomposition
S2SD Non Moving Win.,2.37417486338798,v,Without STL Decomposition
Stacked,9.75239890710382,v,Without STL Decomposition
Stacked,3.53098360655738,v,Without STL Decomposition
Stacked,3.77206420765027,v,Without STL Decomposition
Stacked,2.0246762295082,v,Without STL Decomposition
Stacked,1.87387841530055,v,Without STL Decomposition
Stacked,2.2570587431694,v,Without STL Decomposition
Stacked,2.33063797814208,v,Without STL Decomposition
Stacked,1.77229918032787,v,Without STL Decomposition
Stacked,2.61558606557377,v,Without STL Decomposition
