Model_Name,SMAPE,x,Model
Seq2Seq,0.20572827222829,v,With STL Decomposition
Seq2Seq,0.207791342135093,v,With STL Decomposition
Seq2Seq,0.203688557059784,v,With STL Decomposition
Seq2Seq,0.209215813555481,v,With STL Decomposition
Seq2Seq,0.205883600834261,v,With STL Decomposition
Seq2Seq,0.205074869711864,v,With STL Decomposition
Seq2Seq,0.205273695685576,v,With STL Decomposition
Seq2Seq,0.207788977254589,v,With STL Decomposition
Seq2Seq,0.21109805999824,v,With STL Decomposition
S2SD Moving Win.,0.197037258267189,v,With STL Decomposition
S2SD Moving Win.,0.195467981748365,v,With STL Decomposition
S2SD Moving Win.,0.196758101331635,v,With STL Decomposition
S2SD Non Moving Win.,0.209854367132985,v,With STL Decomposition
S2SD Non Moving Win.,0.205099130837009,v,With STL Decomposition
S2SD Non Moving Win.,0.207892048395408,v,With STL Decomposition
S2SD Moving Win.,0.203704780175399,v,With STL Decomposition
S2SD Moving Win.,0.204660965604349,v,With STL Decomposition
S2SD Moving Win.,0.19753320750163,v,With STL Decomposition
S2SD Non Moving Win.,0.202217816649405,v,With STL Decomposition
S2SD Non Moving Win.,0.205108815320491,v,With STL Decomposition
S2SD Non Moving Win.,0.202916097094437,v,With STL Decomposition
S2SD Moving Win.,0.196612368541635,v,With STL Decomposition
S2SD Moving Win.,0.198210036077616,v,With STL Decomposition
S2SD Moving Win.,0.196637885497783,v,With STL Decomposition
S2SD Non Moving Win.,0.231555986966267,v,With STL Decomposition
S2SD Non Moving Win.,0.205381190580278,v,With STL Decomposition
S2SD Non Moving Win.,0.199300848634016,v,With STL Decomposition
Stacked,0.21566139523721,v,With STL Decomposition
Stacked,0.219727626047559,v,With STL Decomposition
Stacked,0.216676269066216,v,With STL Decomposition
Stacked,0.206072983248365,v,With STL Decomposition
Stacked,0.223715359422837,v,With STL Decomposition
Stacked,0.211492878024421,v,With STL Decomposition
Stacked,0.212579140873556,v,With STL Decomposition
Stacked,0.2223468042468,v,With STL Decomposition
Stacked,0.217540526777153,v,With STL Decomposition
Seq2Seq,1.99974706025552,v,Without STL Decomposition
Seq2Seq,0.490191504445551,v,Without STL Decomposition
Seq2Seq,0.948452722454053,v,Without STL Decomposition
Seq2Seq,0.41414668738896,v,Without STL Decomposition
Seq2Seq,0.364803486752111,v,Without STL Decomposition
Seq2Seq,0.48454671863015,v,Without STL Decomposition
Seq2Seq,0.567336222879265,v,Without STL Decomposition
Seq2Seq,0.533322892617583,v,Without STL Decomposition
Seq2Seq,0.45048296904908,v,Without STL Decomposition
S2SD Moving Win.,1.99974717678203,v,Without STL Decomposition
S2SD Moving Win.,0.360272422844247,v,Without STL Decomposition
S2SD Moving Win.,0.380061904063822,v,Without STL Decomposition
S2SD Non Moving Win.,1.99974747983082,v,Without STL Decomposition
S2SD Non Moving Win.,0.386205944766493,v,Without STL Decomposition
S2SD Non Moving Win.,0.315793659028801,v,Without STL Decomposition
S2SD Moving Win.,0.404680958115446,v,Without STL Decomposition
S2SD Moving Win.,0.390535423983975,v,Without STL Decomposition
S2SD Moving Win.,0.248550844358098,v,Without STL Decomposition
S2SD Non Moving Win.,0.2644417760453,v,Without STL Decomposition
S2SD Non Moving Win.,0.252761880096709,v,Without STL Decomposition
S2SD Non Moving Win.,0.315568808948979,v,Without STL Decomposition
S2SD Moving Win.,0.239000533220935,v,Without STL Decomposition
S2SD Moving Win.,0.399644771455012,v,Without STL Decomposition
S2SD Moving Win.,0.278068339862344,v,Without STL Decomposition
S2SD Non Moving Win.,0.399121368298298,v,Without STL Decomposition
S2SD Non Moving Win.,0.293513935984988,v,Without STL Decomposition
S2SD Non Moving Win.,0.270083208168162,v,Without STL Decomposition
Stacked,1.9997472426052,v,Without STL Decomposition
Stacked,0.386577573465417,v,Without STL Decomposition
Stacked,0.41628420639742,v,Without STL Decomposition
Stacked,0.236482237816136,v,Without STL Decomposition
Stacked,0.221492217447269,v,Without STL Decomposition
Stacked,0.259063273517683,v,Without STL Decomposition
Stacked,0.258658956003593,v,Without STL Decomposition
Stacked,0.210117224188769,v,Without STL Decomposition
Stacked,0.294078201909478,v,Without STL Decomposition
