Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seq_GRU,29,Adagrad,CIF,y,S2S_GRU
seq2seq_LSTM,28,Adagrad,CIF,y,S2S_LSTM
seq2seq_ERNN,25,Adagrad,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,30,Adagrad,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,27,Adagrad,CIF,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,32,Adagrad,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,21,Adagrad,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,36,Adagrad,CIF,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,19,Adagrad,CIF,y,S2SD_ERNN
stacking_GRU,8,Adagrad,CIF,y,Stacked_GRU
stacking_LSTM,4,Adagrad,CIF,y,Stacked_LSTM
stacking_ERNN,7,Adagrad,CIF,y,Stacked_ERNN
seq2seq_GRU,33,Adam,CIF,y,S2S_GRU
seq2seq_LSTM,13,Adam,CIF,y,S2S_LSTM
seq2seq_ERNN,34,Adam,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,17,Adam,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,14,Adam,CIF,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,1,Adam,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,3,Adam,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,24,Adam,CIF,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,2,Adam,CIF,y,S2SD_ERNN
stacking_GRU,15,Adam,CIF,y,Stacked_GRU
stacking_LSTM,6,Adam,CIF,y,Stacked_LSTM
stacking_ERNN,11,Adam,CIF,y,Stacked_ERNN
seq2seq_GRU,22,Cocob,CIF,y,S2S_GRU
seq2seq_LSTM,20,Cocob,CIF,y,S2S_LSTM
seq2seq_ERNN,35,Cocob,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,16,Cocob,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,18,Cocob,CIF,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,31,Cocob,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,26,Cocob,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,10,Cocob,CIF,y,S2SD_ERNN
