Model_Name,Mean_SMAPE_Rank,Dataset,x,Output_Component
GRUcell_adagrad,28,NN5,y,Decoder
GRUcell_adam,35,NN5,y,Decoder
GRUcell_cocob,23,NN5,y,Decoder
LSTMcell_adagrad,29,NN5,y,Decoder
LSTMcell_adam,34,NN5,y,Decoder
LSTMcell_cocob,10,NN5,y,Decoder
ERNNcell_adagrad,30,NN5,y,Decoder
ERNNcell_adam,32,NN5,y,Decoder
ERNNcell_cocob,18,NN5,y,Decoder
GRUcell_adagrad,27,NN5,y,Dense Layer
GRUcell_adam,11,NN5,y,Dense Layer
GRUcell_cocob,12,NN5,y,Dense Layer
LSTMcell_adagrad,25,NN5,y,Dense Layer
LSTMcell_adam,13,NN5,y,Dense Layer
LSTMcell_cocob,33,NN5,y,Dense Layer
ERNNcell_adagrad,22,NN5,y,Dense Layer
ERNNcell_adam,36,NN5,y,Dense Layer
ERNNcell_cocob,17,NN5,y,Dense Layer
GRUcell_adagrad,29,CIF,y,Decoder
GRUcell_adam,33,CIF,y,Decoder
GRUcell_cocob,22,CIF,y,Decoder
LSTMcell_adagrad,28,CIF,y,Decoder
LSTMcell_adam,13,CIF,y,Decoder
LSTMcell_cocob,20,CIF,y,Decoder
ERNNcell_adagrad,25,CIF,y,Decoder
ERNNcell_adam,34,CIF,y,Decoder
ERNNcell_cocob,35,CIF,y,Decoder
GRUcell_adagrad,27,CIF,y,Dense Layer
GRUcell_adam,14,CIF,y,Dense Layer
GRUcell_cocob,18,CIF,y,Dense Layer
LSTMcell_adagrad,21,CIF,y,Dense Layer
LSTMcell_adam,3,CIF,y,Dense Layer
LSTMcell_cocob,26,CIF,y,Dense Layer
ERNNcell_adagrad,19,CIF,y,Dense Layer
ERNNcell_adam,2,CIF,y,Dense Layer
ERNNcell_cocob,23,CIF,y,Dense Layer
GRUcell_adagrad,32,Wikipedia Web Traffic,y,Decoder
GRUcell_adam,23,Wikipedia Web Traffic,y,Decoder
GRUcell_cocob,5,Wikipedia Web Traffic,y,Decoder
LSTMcell_adagrad,32,Wikipedia Web Traffic,y,Decoder
LSTMcell_adam,20,Wikipedia Web Traffic,y,Decoder
LSTMcell_cocob,36,Wikipedia Web Traffic,y,Decoder
ERNNcell_adagrad,26,Wikipedia Web Traffic,y,Decoder
ERNNcell_adam,24,Wikipedia Web Traffic,y,Decoder
ERNNcell_cocob,19,Wikipedia Web Traffic,y,Decoder
GRUcell_adagrad,34,Wikipedia Web Traffic,y,Dense Layer
GRUcell_adam,2,Wikipedia Web Traffic,y,Dense Layer
GRUcell_cocob,10,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_adagrad,35,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_adam,11,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_cocob,21,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_adagrad,22,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_adam,12,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_cocob,16,Wikipedia Web Traffic,y,Dense Layer
GRUcell_adagrad,36,M3,y,Decoder
GRUcell_adam,20,M3,y,Decoder
GRUcell_cocob,35,M3,y,Decoder
LSTMcell_adagrad,15,M3,y,Decoder
LSTMcell_adam,34,M3,y,Decoder
LSTMcell_cocob,13,M3,y,Decoder
ERNNcell_adagrad,33,M3,y,Decoder
ERNNcell_adam,27,M3,y,Decoder
ERNNcell_cocob,30,M3,y,Decoder
GRUcell_adagrad,28,M3,y,Dense Layer
GRUcell_adam,11,M3,y,Dense Layer
GRUcell_cocob,16,M3,y,Dense Layer
LSTMcell_adagrad,32,M3,y,Dense Layer
LSTMcell_adam,22,M3,y,Dense Layer
LSTMcell_cocob,12,M3,y,Dense Layer
ERNNcell_adagrad,26,M3,y,Dense Layer
ERNNcell_adam,25,M3,y,Dense Layer
ERNNcell_cocob,31,M3,y,Dense Layer
GRUcell_adagrad,19,Tourism,y,Decoder
GRUcell_adam,15,Tourism,y,Decoder
GRUcell_cocob,14,Tourism,y,Decoder
LSTMcell_adagrad,27,Tourism,y,Decoder
LSTMcell_adam,10,Tourism,y,Decoder
LSTMcell_cocob,21,Tourism,y,Decoder
ERNNcell_adagrad,22,Tourism,y,Decoder
ERNNcell_adam,16,Tourism,y,Decoder
ERNNcell_cocob,24,Tourism,y,Decoder
GRUcell_adagrad,29,Tourism,y,Dense Layer
GRUcell_adam,23,Tourism,y,Dense Layer
GRUcell_cocob,25,Tourism,y,Dense Layer
LSTMcell_adagrad,13,Tourism,y,Dense Layer
LSTMcell_adam,12,Tourism,y,Dense Layer
LSTMcell_cocob,17,Tourism,y,Dense Layer
ERNNcell_adagrad,30,Tourism,y,Dense Layer
ERNNcell_adam,9,Tourism,y,Dense Layer
ERNNcell_cocob,6,Tourism,y,Dense Layer
GRUcell_adagrad,10,M4,y,Decoder
GRUcell_adam,36,M4,y,Decoder
GRUcell_cocob,21,M4,y,Decoder
LSTMcell_adagrad,34,M4,y,Decoder
LSTMcell_adam,32,M4,y,Decoder
LSTMcell_cocob,31,M4,y,Decoder
ERNNcell_adagrad,35,M4,y,Decoder
ERNNcell_adam,22,M4,y,Decoder
ERNNcell_cocob,29,M4,y,Decoder
GRUcell_adagrad,11,M4,y,Dense Layer
GRUcell_adam,30,M4,y,Dense Layer
GRUcell_cocob,17,M4,y,Dense Layer
LSTMcell_adagrad,8,M4,y,Dense Layer
LSTMcell_adam,7,M4,y,Dense Layer
LSTMcell_cocob,13,M4,y,Dense Layer
ERNNcell_adagrad,15,M4,y,Dense Layer
ERNNcell_adam,33,M4,y,Dense Layer
ERNNcell_cocob,16,M4,y,Dense Layer
