Model_Name,Mean_SMAPE_Rank,RNN_Unit,Dataset,x
seq2seq_adagrad,33,GRU,CIF,y
seq2seq_adam,36,GRU,CIF,y
seq2seq_cocob,26,GRU,CIF,y
seq2seqwithdenselayer_mw_adagrad,35,GRU,CIF,y
seq2seqwithdenselayer_mw_adam,23,GRU,CIF,y
seq2seqwithdenselayer_mw_cocob,5,GRU,CIF,y
seq2seqwithdenselayer_nmw_adagrad,22,GRU,CIF,y
seq2seqwithdenselayer_nmw_adam,10,GRU,CIF,y
seq2seqwithdenselayer_nmw_cocob,13,GRU,CIF,y
stacking_adagrad,19,GRU,CIF,y
stacking_adam,20,GRU,CIF,y
stacking_cocob,18,GRU,CIF,y
seq2seq_adagrad,30,LSTM,CIF,y
seq2seq_adam,24,LSTM,CIF,y
seq2seq_cocob,28,LSTM,CIF,y
seq2seqwithdenselayer_mw_adagrad,34,LSTM,CIF,y
seq2seqwithdenselayer_mw_adam,3,LSTM,CIF,y
seq2seqwithdenselayer_mw_cocob,31,LSTM,CIF,y
seq2seqwithdenselayer_nmw_adagrad,27,LSTM,CIF,y
seq2seqwithdenselayer_nmw_adam,7,LSTM,CIF,y
seq2seqwithdenselayer_nmw_cocob,1,LSTM,CIF,y
stacking_adagrad,15,LSTM,CIF,y
stacking_adam,14,LSTM,CIF,y
stacking_cocob,9,LSTM,CIF,y
seq2seq_adagrad,11,ERNN,CIF,y
seq2seq_adam,29,ERNN,CIF,y
seq2seq_cocob,12,ERNN,CIF,y
seq2seqwithdenselayer_mw_adagrad,32,ERNN,CIF,y
seq2seqwithdenselayer_mw_adam,25,ERNN,CIF,y
seq2seqwithdenselayer_mw_cocob,8,ERNN,CIF,y
seq2seqwithdenselayer_nmw_adagrad,6,ERNN,CIF,y
seq2seqwithdenselayer_nmw_adam,4,ERNN,CIF,y
seq2seqwithdenselayer_nmw_cocob,2,ERNN,CIF,y
stacking_adagrad,17,ERNN,CIF,y
stacking_adam,16,ERNN,CIF,y
stacking_cocob,21,ERNN,CIF,y
seq2seq_adagrad,30,GRU,Wikipedia Web Traffic,y
seq2seq_adam,23,GRU,Wikipedia Web Traffic,y
seq2seq_cocob,3,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,32,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,28,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,17,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,35,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,4,GRU,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,10,GRU,Wikipedia Web Traffic,y
stacking_adagrad,9,GRU,Wikipedia Web Traffic,y
stacking_adam,5,GRU,Wikipedia Web Traffic,y
stacking_cocob,2,GRU,Wikipedia Web Traffic,y
seq2seq_adagrad,30,LSTM,Wikipedia Web Traffic,y
seq2seq_adam,20,LSTM,Wikipedia Web Traffic,y
seq2seq_cocob,36,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adagrad,29,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_adam,25,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_mw_cocob,33,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adagrad,34,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_adam,11,LSTM,Wikipedia Web Traffic,y
seq2seqwithdenselayer_nmw_cocob,22,LSTM,Wikipedia Web Traffic,y
stacking_adagrad,6,LSTM,Wikipedia Web Traffic,y
stacking_adam,7,LSTM,Wikipedia Web Traffic,y
