Model_Name,Input_Format,Dataset,x,Mean_SMAPE_Rank
GRU_Adagrad,Moving_Window,CIF,y,36
GRU_Adam,Moving_Window,CIF,y,23
GRU_Cocob,Moving_Window,CIF,y,5
LSTM_Adagrad,Moving_Window,CIF,y,35
LSTM_Adam,Moving_Window,CIF,y,3
LSTM_Cocob,Moving_Window,CIF,y,31
ERNN_Adagrad,Moving_Window,CIF,y,32
ERNN_Adam,Moving_Window,CIF,y,25
ERNN_Cocob,Moving_Window,CIF,y,8
GRU_Adagrad,Without_Moving_WIndow,CIF,y,22
GRU_Adam,Without_Moving_WIndow,CIF,y,10
GRU_Cocob,Without_Moving_WIndow,CIF,y,13
LSTM_Adagrad,Without_Moving_WIndow,CIF,y,27
LSTM_Adam,Without_Moving_WIndow,CIF,y,7
LSTM_Cocob,Without_Moving_WIndow,CIF,y,1
ERNN_Adagrad,Without_Moving_WIndow,CIF,y,6
ERNN_Adam,Without_Moving_WIndow,CIF,y,4
ERNN_Cocob,Without_Moving_WIndow,CIF,y,2
GRU_Adagrad,Moving_Window,M3,y,1
GRU_Adam,Moving_Window,M3,y,33
GRU_Cocob,Moving_Window,M3,y,12
LSTM_Adagrad,Moving_Window,M3,y,3
LSTM_Adam,Moving_Window,M3,y,24
LSTM_Cocob,Moving_Window,M3,y,17
ERNN_Adagrad,Moving_Window,M3,y,4
ERNN_Adam,Moving_Window,M3,y,30
ERNN_Cocob,Moving_Window,M3,y,28
GRU_Adagrad,Without_Moving_WIndow,M3,y,6
GRU_Adam,Without_Moving_WIndow,M3,y,11
GRU_Cocob,Without_Moving_WIndow,M3,y,10
LSTM_Adagrad,Without_Moving_WIndow,M3,y,13
LSTM_Adam,Without_Moving_WIndow,M3,y,15
LSTM_Cocob,Without_Moving_WIndow,M3,y,8
ERNN_Adagrad,Without_Moving_WIndow,M3,y,35
ERNN_Adam,Without_Moving_WIndow,M3,y,34
ERNN_Cocob,Without_Moving_WIndow,M3,y,37
GRU_Adagrad,Moving_Window,Wikipedia Web Traffic,y,33
GRU_Adam,Moving_Window,Wikipedia Web Traffic,y,29
GRU_Cocob,Moving_Window,Wikipedia Web Traffic,y,17
LSTM_Adagrad,Moving_Window,Wikipedia Web Traffic,y,30
LSTM_Adam,Moving_Window,Wikipedia Web Traffic,y,26
LSTM_Cocob,Moving_Window,Wikipedia Web Traffic,y,34
ERNN_Adagrad,Moving_Window,Wikipedia Web Traffic,y,28
ERNN_Adam,Moving_Window,Wikipedia Web Traffic,y,20
ERNN_Cocob,Moving_Window,Wikipedia Web Traffic,y,16
GRU_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,36
GRU_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,4
GRU_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,10
LSTM_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,35
LSTM_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,11
LSTM_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,23
ERNN_Adagrad,Without_Moving_WIndow,Wikipedia Web Traffic,y,22
ERNN_Adam,Without_Moving_WIndow,Wikipedia Web Traffic,y,13
ERNN_Cocob,Without_Moving_WIndow,Wikipedia Web Traffic,y,15
GRU_Adagrad,Moving_Window,NN5,y,34
GRU_Adam,Moving_Window,NN5,y,14
GRU_Cocob,Moving_Window,NN5,y,23
LSTM_Adagrad,Moving_Window,NN5,y,32
LSTM_Adam,Moving_Window,NN5,y,18
LSTM_Cocob,Moving_Window,NN5,y,11
ERNN_Adagrad,Moving_Window,NN5,y,29
ERNN_Adam,Moving_Window,NN5,y,21
ERNN_Cocob,Moving_Window,NN5,y,17
GRU_Adagrad,Without_Moving_WIndow,NN5,y,35
GRU_Adam,Without_Moving_WIndow,NN5,y,16
GRU_Cocob,Without_Moving_WIndow,NN5,y,13
LSTM_Adagrad,Without_Moving_WIndow,NN5,y,33
LSTM_Adam,Without_Moving_WIndow,NN5,y,15
LSTM_Cocob,Without_Moving_WIndow,NN5,y,22
ERNN_Adagrad,Without_Moving_WIndow,NN5,y,31
ERNN_Adam,Without_Moving_WIndow,NN5,y,37
ERNN_Cocob,Without_Moving_WIndow,NN5,y,20
GRU_Adagrad,Moving_Window,Tourism,y,8
GRU_Adam,Moving_Window,Tourism,y,3
GRU_Cocob,Moving_Window,Tourism,y,5
LSTM_Adagrad,Moving_Window,Tourism,y,16
LSTM_Adam,Moving_Window,Tourism,y,11
LSTM_Cocob,Moving_Window,Tourism,y,9
ERNN_Adagrad,Moving_Window,Tourism,y,4
ERNN_Adam,Moving_Window,Tourism,y,7
ERNN_Cocob,Moving_Window,Tourism,y,2
GRU_Adagrad,Without_Moving_WIndow,Tourism,y,29
GRU_Adam,Without_Moving_WIndow,Tourism,y,19
GRU_Cocob,Without_Moving_WIndow,Tourism,y,26
LSTM_Adagrad,Without_Moving_WIndow,Tourism,y,12
LSTM_Adam,Without_Moving_WIndow,Tourism,y,14
LSTM_Cocob,Without_Moving_WIndow,Tourism,y,13
ERNN_Adagrad,Without_Moving_WIndow,Tourism,y,32
ERNN_Adam,Without_Moving_WIndow,Tourism,y,10
ERNN_Cocob,Without_Moving_WIndow,Tourism,y,6
GRU_Adagrad,Moving_Window,M4,y,2
GRU_Adam,Moving_Window,M4,y,18
GRU_Cocob,Moving_Window,M4,y,11
LSTM_Adagrad,Moving_Window,M4,y,3
LSTM_Adam,Moving_Window,M4,y,17
LSTM_Cocob,Moving_Window,M4,y,12
ERNN_Adagrad,Moving_Window,M4,y,4
ERNN_Adam,Moving_Window,M4,y,20
ERNN_Cocob,Moving_Window,M4,y,25
GRU_Adagrad,Without_Moving_WIndow,M4,y,6
GRU_Adam,Without_Moving_WIndow,M4,y,22
GRU_Cocob,Without_Moving_WIndow,M4,y,16
LSTM_Adagrad,Without_Moving_WIndow,M4,y,5
LSTM_Adam,Without_Moving_WIndow,M4,y,14
LSTM_Cocob,Without_Moving_WIndow,M4,y,15
ERNN_Adagrad,Without_Moving_WIndow,M4,y,7
ERNN_Adam,Without_Moving_WIndow,M4,y,35
ERNN_Cocob,Without_Moving_WIndow,M4,y,10
