Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seq_GRU,33,Adagrad,CIF,y,S2S_GRU
seq2seq_LSTM,30,Adagrad,CIF,y,S2S_LSTM
seq2seq_ERNN,11,Adagrad,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,35,Adagrad,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,22,Adagrad,CIF,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,34,Adagrad,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,27,Adagrad,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,32,Adagrad,CIF,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,6,Adagrad,CIF,y,S2SD_ERNN
stacking_GRU,19,Adagrad,CIF,y,Stacked_GRU
stacking_LSTM,15,Adagrad,CIF,y,Stacked_LSTM
stacking_ERNN,17,Adagrad,CIF,y,Stacked_ERNN
seq2seq_GRU,36,Adam,CIF,y,S2S_GRU
seq2seq_LSTM,24,Adam,CIF,y,S2S_LSTM
seq2seq_ERNN,29,Adam,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,23,Adam,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,10,Adam,CIF,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,3,Adam,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,7,Adam,CIF,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,25,Adam,CIF,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,4,Adam,CIF,y,S2SD_ERNN
stacking_GRU,20,Adam,CIF,y,Stacked_GRU
stacking_LSTM,14,Adam,CIF,y,Stacked_LSTM
stacking_ERNN,16,Adam,CIF,y,Stacked_ERNN
seq2seq_GRU,26,Cocob,CIF,y,S2S_GRU
seq2seq_LSTM,28,Cocob,CIF,y,S2S_LSTM
seq2seq_ERNN,12,Cocob,CIF,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,5,Cocob,CIF,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,13,Cocob,CIF,y,S2SD_GRU
