Model_Name,MASE,x
RNN,1.42845203889381,v
RNN,1.35723335452021,v
RNN,1.24794507497088,v
RNN,1.42845203889381,v
RNN,1.33510198954078,v
RNN,1.45108224723435,v
RNN,1.39876809605659,v
RNN,1.38976089555419,v
RNN,1.33305985768756,v
RNN,1.42843640503944,v
RNN,1.42800849219093,v
RNN,1.29583768144172,v
RNN,1.43649693101338,v
RNN,1.24228153097659,v
RNN,1.26093375424768,v
RNN,1.42756322087795,v
RNN,1.3922750396491,v
RNN,1.4280155924196,v
RNN,1.43656821172968,v
RNN,1.26133910858361,v
RNN,1.33661481005181,v
RNN,1.42149782132264,v
RNN,1.31605788886895,v
RNN,1.28410397823938,v
RNN,1.34121950407518,v
RNN,1.27313303070912,v
RNN,1.28600327442787,v
RNN,1.25407059129858,v
RNN,1.24950970870722,v
RNN,1.23621015970154,v
RNN,1.25033564850174,v
RNN,1.2504230569235,v
Stacked_LSTM_COCOB,1.24588994557087,v
RNN,1.28463559894396,v
RNN,1.24596504799562,v
RNN,1.27360445149941,v
RNN,1.25140951482603,v
RNN,1.23134615793935,v
RNN,1.23451502236531,v
RNN,1.22833645959309,v
Stacked_LSTM_Adam(IW+),1.22720889130559,v
Stacked_LSTM_COCOB(IW+),1.23430311643176,v
RNN,1.26433051732123,v
RNN,1.2524865083972,v
RNN,1.27255090140497,v
ETS,1.58034904714142,v
ARIMA,1.43523269809428,v
