Model_Name,MASE,x
RNN,0.894950715014178,v
RNN,0.748962420485886,v
RNN,0.784080075854504,v
RNN,0.750672211436944,v
RNN,0.78336198501647,v
RNN,0.727829437454629,v
RNN,0.779104712137702,v
RNN,0.762446325520892,v
RNN,0.757390405897709,v
RNN,0.738757401273179,v
RNN,0.766095402129602,v
RNN,0.743868730128191,v
RNN,0.766150679205179,v
RNN,0.746955059230318,v
RNN,0.736302037787985,v
RNN,0.735308051707967,v
RNN,0.744294427002562,v
RNN,0.746568237667324,v
RNN,0.768063820005538,v
RNN,0.750287817253086,v
RNN,0.741512559569908,v
RNN,0.722061510238684,v
RNN,0.762301162593227,v
RNN,0.754429498768782,v
RNN,0.76726415783923,v
RNN,0.768941859052489,v
RNN,0.772895743143186,v
RNN,0.727203262638392,v
RNN,0.731894002425833,v
RNN,0.724443817606651,v
RNN,0.713097666201082,v
Stacked_LSTM_Adam,0.703783931792093,v
Stacked_LSTM_COCOB,0.706665988120344,v
RNN,0.722187732879489,v
RNN,0.732415741976694,v
RNN,0.731339571543458,v
ETS,0.7125,v
ARIMA,0.7035,v
