Model_Name,SMAPE,x,Dataset
S2S,20,v,T
S2S,22,v,T
S2S,14,v,T
S2S,26,v,T
S2S,17,v,T
S2S,19,v,T
S2S,16,v,T
S2S,23,v,T
S2S,24,v,T
S2SD MW,7,v,T
S2SD MW,2,v,T
S2SD MW,4,v,T
S2SD Non MW,27,v,T
S2SD Non MW,18,v,T
S2SD Non MW,25,v,T
S2SD MW,15,v,T
S2SD MW,10,v,T
S2SD MW,8,v,T
S2SD Non MW,11,v,T
S2SD Non MW,13,v,T
S2SD Non MW,12,v,T
S2SD MW,3,v,T
S2SD MW,6,v,T
S2SD MW,1,v,T
S2SD Non MW,30,v,T
S2SD Non MW,9,v,T
S2SD Non MW,5,v,T
Stacked,31,v,T
Stacked,34,v,T
Stacked,32,v,T
Stacked,21,v,T
Stacked,36,v,T
Stacked,28,v,T
Stacked,29,v,T
Stacked,35,v,T
Stacked,33,v,T
S2S,7,v,M4
S2S,35,v,M4
S2S,11,v,M4
S2S,26,v,M4
S2S,22,v,M4
S2S,24,v,M4
S2S,30,v,M4
S2S,19,v,M4
S2S,17,v,M4
S2SD MW,1,v,M4
S2SD MW,16,v,M4
S2SD MW,9,v,M4
S2SD Non MW,5,v,M4
S2SD Non MW,20,v,M4
S2SD Non MW,14,v,M4
S2SD MW,2,v,M4
S2SD MW,15,v,M4
S2SD MW,10,v,M4
S2SD Non MW,4,v,M4
S2SD Non MW,12,v,M4
S2SD Non MW,13,v,M4
S2SD MW,3,v,M4
S2SD MW,18,v,M4
S2SD MW,23,v,M4
S2SD Non MW,6,v,M4
S2SD Non MW,33,v,M4
S2SD Non MW,8,v,M4
Stacked,27,v,M4
Stacked,31,v,M4
Stacked,36,v,M4
Stacked,21,v,M4
Stacked,28,v,M4
Stacked,25,v,M4
Stacked,32,v,M4
Stacked,34,v,M4
Stacked,29,v,M4
S2S,33,v,C
S2S,36,v,C
S2S,26,v,C
S2S,30,v,C
S2S,24,v,C
S2S,28,v,C
S2S,11,v,C
S2S,29,v,C
S2S,12,v,C
S2SD MW,35,v,C
S2SD MW,23,v,C
S2SD MW,5,v,C
S2SD Non MW,22,v,C
S2SD Non MW,10,v,C
S2SD Non MW,13,v,C
S2SD MW,34,v,C
S2SD MW,3,v,C
S2SD MW,31,v,C
S2SD Non MW,27,v,C
S2SD Non MW,7,v,C
S2SD Non MW,1,v,C
S2SD MW,32,v,C
S2SD MW,25,v,C
S2SD MW,8,v,C
S2SD Non MW,6,v,C
S2SD Non MW,4,v,C
S2SD Non MW,2,v,C
Stacked,19,v,C
Stacked,20,v,C
Stacked,18,v,C
Stacked,15,v,C
Stacked,14,v,C
Stacked,9,v,C
Stacked,17,v,C
Stacked,16,v,C
Stacked,21,v,C
S2S,30,v,W
S2S,23,v,W
S2S,3,v,W
S2S,30,v,W
S2S,20,v,W
S2S,36,v,W
S2S,26,v,W
S2S,24,v,W
S2S,18,v,W
S2SD MW,32,v,W
S2SD MW,28,v,W
S2SD MW,17,v,W
S2SD Non MW,35,v,W
S2SD Non MW,4,v,W
S2SD Non MW,10,v,W
S2SD MW,29,v,W
S2SD MW,25,v,W
S2SD MW,33,v,W
S2SD Non MW,34,v,W
S2SD Non MW,11,v,W
S2SD Non MW,22,v,W
S2SD MW,27,v,W
S2SD MW,19,v,W
S2SD MW,16,v,W
S2SD Non MW,21,v,W
S2SD Non MW,13,v,W
S2SD Non MW,15,v,W
Stacked,9,v,W
Stacked,5,v,W
Stacked,2,v,W
Stacked,6,v,W
Stacked,7,v,W
Stacked,8,v,W
Stacked,14,v,W
Stacked,1,v,W
Stacked,12,v,W
S2S,36,v,M3
S2S,16,v,M3
S2S,27,v,M3
S2S,5,v,M3
S2S,30,v,M3
S2S,18,v,M3
S2S,23,v,M3
S2S,20,v,M3
S2S,17,v,M3
S2SD MW,1,v,M3
S2SD MW,31,v,M3
S2SD MW,10,v,M3
S2SD Non MW,4,v,M3
S2SD Non MW,9,v,M3
S2SD Non MW,8,v,M3
S2SD MW,2,v,M3
S2SD MW,22,v,M3
S2SD MW,15,v,M3
S2SD Non MW,11,v,M3
S2SD Non MW,13,v,M3
S2SD Non MW,6,v,M3
S2SD MW,3,v,M3
S2SD MW,28,v,M3
S2SD MW,26,v,M3
S2SD Non MW,33,v,M3
S2SD Non MW,32,v,M3
S2SD Non MW,35,v,M3
Stacked,19,v,M3
Stacked,29,v,M3
Stacked,21,v,M3
Stacked,7,v,M3
Stacked,12,v,M3
Stacked,14,v,M3
Stacked,25,v,M3
Stacked,24,v,M3
Stacked,34,v,M3
S2S,25,v,N
S2S,29,v,N
S2S,27,v,N
S2S,26,v,N
S2S,23,v,N
S2S,11,v,N
S2S,35,v,N
S2S,24,v,N
S2S,18,v,N
S2SD MW,33,v,N
S2SD MW,13,v,N
S2SD MW,22,v,N
S2SD Non MW,34,v,N
S2SD Non MW,15,v,N
S2SD Non MW,12,v,N
S2SD MW,31,v,N
S2SD MW,17,v,N
S2SD MW,10,v,N
S2SD Non MW,32,v,N
S2SD Non MW,14,v,N
S2SD Non MW,21,v,N
S2SD MW,28,v,N
S2SD MW,20,v,N
S2SD MW,16,v,N
S2SD Non MW,30,v,N
S2SD Non MW,36,v,N
S2SD Non MW,19,v,N
Stacked,3,v,N
Stacked,4,v,N
Stacked,6,v,N
Stacked,5,v,N
Stacked,1,v,N
Stacked,2,v,N
Stacked,9,v,N
Stacked,7,v,N
Stacked,8,v,N
