Model_Name,SMAPE,x,Dataset
S2S,18.9398907103825,v,T
S2S,18.5956284153005,v,T
S2S,18.4535519125683,v,T
S2S,21.0382513661202,v,T
S2S,18.2513661202186,v,T
S2S,19.3770491803279,v,T
S2S,19.707650273224,v,T
S2S,18.8579234972678,v,T
S2S,20.2295081967213,v,T
S2SD MW,15.1311475409836,v,T
S2SD MW,14.5710382513661,v,T
S2SD MW,15.3688524590164,v,T
S2SD Non MW,22.5628415300546,v,T
S2SD Non MW,20.051912568306,v,T
S2SD Non MW,21.2786885245902,v,T
S2SD MW,18.4535519125683,v,T
S2SD MW,17.155737704918,v,T
S2SD MW,15.0437158469945,v,T
S2SD Non MW,17.879781420765,v,T
S2SD Non MW,17.0710382513661,v,T
S2SD Non MW,18.8360655737705,v,T
S2SD MW,13.7704918032787,v,T
S2SD MW,15.6612021857923,v,T
S2SD MW,13.2814207650273,v,T
S2SD Non MW,23.8306010928962,v,T
S2SD Non MW,17.0300546448087,v,T
S2SD Non MW,14.6092896174863,v,T
Stacked,19.6857923497268,v,T
Stacked,21.6857923497268,v,T
Stacked,21.396174863388,v,T
Stacked,17.172131147541,v,T
Stacked,22.8469945355191,v,T
Stacked,18.2677595628415,v,T
Stacked,17.6994535519126,v,T
Stacked,22.3524590163934,v,T
Stacked,19.8551912568306,v,T
S2S,17.485875,v,M4
S2S,22.7743020833333,v,M4
S2S,18.8110520833333,v,M4
S2S,18.4624479166667,v,M4
S2S,20.6567083333333,v,M4
S2S,19.5963854166667,v,M4
S2S,21.0439375,v,M4
S2S,20.06221875,v,M4
S2S,19.6938125,v,M4
S2SD MW,16.3301666666667,v,M4
S2SD MW,16.8831666666667,v,M4
S2SD MW,17.2629583333333,v,M4
S2SD Non MW,17.5934583333333,v,M4
S2SD Non MW,19.7099895833333,v,M4
S2SD Non MW,18.48484375,v,M4
S2SD MW,16.3288541666667,v,M4
S2SD MW,16.8530416666667,v,M4
S2SD MW,16.9133229166667,v,M4
S2SD Non MW,17.4132395833333,v,M4
S2SD Non MW,17.74171875,v,M4
S2SD Non MW,18.0041145833333,v,M4
S2SD MW,16.2103125,v,M4
S2SD MW,17.6685625,v,M4
S2SD MW,18.6849166666667,v,M4
S2SD Non MW,17.56740625,v,M4
S2SD Non MW,20.5528125,v,M4
S2SD Non MW,17.84653125,v,M4
Stacked,18.8500208333333,v,M4
Stacked,18.8001979166667,v,M4
Stacked,18.9133854166667,v,M4
Stacked,17.9079791666667,v,M4
Stacked,18.4754791666667,v,M4
Stacked,18.5991666666667,v,M4
Stacked,19.4121354166667,v,M4
Stacked,19.59934375,v,M4
Stacked,18.8061354166667,v,M4
S2S,23.0972222222222,v,C
S2S,25.125,v,C
S2S,21.1805555555556,v,C
S2S,22.2638888888889,v,C
S2S,18.6111111111111,v,C
S2S,21.7361111111111,v,C
S2S,18.5277777777778,v,C
S2S,22.7083333333333,v,C
S2S,18.25,v,C
S2SD MW,24.2916666666667,v,C
S2SD MW,20.6111111111111,v,C
S2SD MW,16.2638888888889,v,C
S2SD Non MW,19.8194444444444,v,C
S2SD Non MW,16.9861111111111,v,C
S2SD Non MW,17.6388888888889,v,C
S2SD MW,24.2777777777778,v,C
S2SD MW,15.7083333333333,v,C
S2SD MW,21.9722222222222,v,C
S2SD Non MW,18.125,v,C
S2SD Non MW,16.2361111111111,v,C
S2SD Non MW,15.2916666666667,v,C
S2SD MW,22.1388888888889,v,C
S2SD MW,22.3333333333333,v,C
S2SD MW,17.8888888888889,v,C
S2SD Non MW,17.4583333333333,v,C
S2SD Non MW,17.2222222222222,v,C
S2SD Non MW,16.0833333333333,v,C
Stacked,15.2916666666667,v,C
Stacked,15.2361111111111,v,C
Stacked,15.0277777777778,v,C
Stacked,14.5277777777778,v,C
Stacked,14.5,v,C
Stacked,13.375,v,C
Stacked,15.5833333333333,v,C
Stacked,15.0138888888889,v,C
Stacked,15.5972222222222,v,C
S2S,22.6865596790371,v,W
S2S,18.6389167502508,v,W
S2S,12.1103309929789,v,W
S2S,22.6865596790371,v,W
S2S,16.481444332999,v,W
S2S,23.3681043129388,v,W
S2S,21.3906720160481,v,W
S2S,19.39518555667,v,W
S2S,17.258776328987,v,W
S2SD MW,22.6695085255767,v,W
S2SD MW,22.6374122367101,v,W
S2SD MW,20.3751253761284,v,W
S2SD Non MW,25.2326980942828,v,W
S2SD Non MW,16.0265797392177,v,W
S2SD Non MW,15.9513540621866,v,W
S2SD MW,22.6334002006018,v,W
S2SD MW,20.0702106318957,v,W
S2SD MW,22.704112337011,v,W
S2SD Non MW,25.2121364092277,v,W
S2SD Non MW,15.9327983951856,v,W
S2SD Non MW,20.1088264794383,v,W
S2SD MW,21.4724172517553,v,W
S2SD MW,20.4267803410231,v,W
S2SD MW,16.9152457372116,v,W
S2SD Non MW,20.1143430290873,v,W
S2SD Non MW,17.6173520561685,v,W
S2SD Non MW,17.6198595787362,v,W
Stacked,13.4704112337011,v,W
Stacked,14.0150451354062,v,W
Stacked,13.8966900702106,v,W
Stacked,13.3881644934804,v,W
Stacked,13.9819458375125,v,W
Stacked,15.3866599799398,v,W
Stacked,15.2246740220662,v,W
Stacked,14.1394182547643,v,W
Stacked,14.7602808425276,v,W
S2S,24.2759103641457,v,M3
S2S,18.4649859943978,v,M3
S2S,20.5980392156863,v,M3
S2S,17.7457983193277,v,M3
S2S,19.9810924369748,v,M3
S2S,18.1673669467787,v,M3
S2S,20.7135854341737,v,M3
S2S,19.531512605042,v,M3
S2S,19.7233893557423,v,M3
S2SD MW,15.890056022409,v,M3
S2SD MW,19.0504201680672,v,M3
S2SD MW,17.2542016806723,v,M3
S2SD Non MW,17.7626050420168,v,M3
S2SD Non MW,17.9796918767507,v,M3
S2SD Non MW,17.405462184874,v,M3
S2SD MW,16.2878151260504,v,M3
S2SD MW,18.656162464986,v,M3
S2SD MW,17.5987394957983,v,M3
S2SD Non MW,18.8137254901961,v,M3
S2SD Non MW,18.9488795518207,v,M3
S2SD Non MW,17.7647058823529,v,M3
S2SD MW,16.2107843137255,v,M3
S2SD MW,20.1162464985994,v,M3
S2SD MW,19.3634453781513,v,M3
S2SD Non MW,20.8879551820728,v,M3
S2SD Non MW,20.4348739495798,v,M3
S2SD Non MW,21.0196078431373,v,M3
Stacked,17.4677871148459,v,M3
Stacked,18.0175070028011,v,M3
Stacked,17.3515406162465,v,M3
Stacked,15.4278711484594,v,M3
Stacked,16.0588235294118,v,M3
Stacked,16.4201680672269,v,M3
Stacked,18.0686274509804,v,M3
Stacked,17.7682072829132,v,M3
Stacked,18.7724089635854,v,M3
S2S,19.1171171171171,v,N
S2S,21.5675675675676,v,N
S2S,18.8558558558559,v,N
S2S,19.3423423423423,v,N
S2S,19.7927927927928,v,N
S2S,16.0900900900901,v,N
S2S,20.6126126126126,v,N
S2S,19.3243243243243,v,N
S2S,20.4594594594595,v,N
S2SD MW,20.9189189189189,v,N
S2SD MW,19.5855855855856,v,N
S2SD MW,22.6126126126126,v,N
S2SD Non MW,21.1081081081081,v,N
S2SD Non MW,18.0720720720721,v,N
S2SD Non MW,18.7387387387387,v,N
S2SD MW,19.8018018018018,v,N
S2SD MW,22.7297297297297,v,N
S2SD MW,22.5045045045045,v,N
S2SD Non MW,20.3153153153153,v,N
S2SD Non MW,18.009009009009,v,N
S2SD Non MW,22.4504504504505,v,N
S2SD MW,17.9189189189189,v,N
S2SD MW,22.9369369369369,v,N
S2SD MW,19.8648648648649,v,N
S2SD Non MW,18.3873873873874,v,N
S2SD Non MW,29.0720720720721,v,N
S2SD Non MW,20.7297297297297,v,N
Stacked,12.3513513513514,v,N
Stacked,12.7387387387387,v,N
Stacked,13.7117117117117,v,N
Stacked,13.5135135135135,v,N
Stacked,12.045045045045,v,N
Stacked,11.954954954955,v,N
Stacked,13.6306306306306,v,N
Stacked,13.8108108108108,v,N
Stacked,11.3243243243243,v,N
