Model_Name,SMAPE,x
RNN,0.205686505874661,v
RNN,0.20623256127344,v
RNN,0.203459794609946,v
RNN,0.209032924878144,v
RNN,0.204972364530299,v
RNN,0.205076839556429,v
RNN,0.204405273490479,v
RNN,0.206259950729876,v
RNN,0.207720350316488,v
RNN,0.196969905827167,v
RNN,0.195019012377265,v
RNN,0.196675511973453,v
RNN,0.209878678743406,v
RNN,0.205048838266148,v
RNN,0.207991625839663,v
RNN,0.203639762140628,v
RNN,0.201787928077418,v
RNN,0.197589466363261,v
RNN,0.202242220988803,v
RNN,0.203311029992411,v
RNN,0.202898729662023,v
RNN,0.19582519329511,v
RNN,0.196908181634545,v
S2SD_RNN_MW_COCOB,0.194370529891768,v
RNN,0.212711645449251,v
RNN,0.2003682469139,v
RNN,0.196755930572302,v
RNN,0.215649145425143,v
RNN,0.219206775205845,v
RNN,0.216559667565478,v
RNN,0.206064258672378,v
RNN,0.222788754028074,v
Stacked_LSTM_COCOB,0.211248523909328,v
RNN,0.212385283597173,v
RNN,0.222214876330353,v
RNN,0.217202581277605,v
ETS,0.190176715762869,v
ARIMA,0.20823915069634,v
