Model_Name,SMAPE,x
RNN,0.175012984808159,v
RNN,0.17644989203087,v
RNN,0.173625503734349,v
RNN,0.176418264593409,v
RNN,0.180192550181896,v
RNN,0.175894704782447,v
RNN,0.176832036056619,v
RNN,0.174711822172913,v
RNN,0.176439233503836,v
RNN,0.167336000630554,v
S2SD_GRU_MW_Adam,0.167255326375534,v
RNN,0.16863601780436,v
RNN,0.177556466161837,v
RNN,0.173403697255066,v
RNN,0.175832518519519,v
RNN,0.175765387786268,v
RNN,0.171346302362953,v
RNN,0.169230976491586,v
RNN,0.172777100318636,v
RNN,0.171501809004519,v
RNN,0.173675702207416,v
RNN,0.169272821133759,v
RNN,0.168553815756342,v
RNN,0.16786924681576,v
RNN,0.18114433678345,v
RNN,0.170218596766445,v
RNN,0.168670448118866,v
RNN,0.180746509715799,v
RNN,0.183567736211491,v
RNN,0.181068174128244,v
RNN,0.173582179613289,v
RNN,0.187812802341476,v
Stacked_LSTM_COCOB,0.176130123907908,v
RNN,0.178037640233219,v
RNN,0.187307755627645,v
RNN,0.18346213670467,v
ETS,0.171590548787985,v
ARIMA,0.181615491435693,v
