Model_Name,MASE,x,Model
Seq2Seq,0.924836452159182,v,With STL Decomp.
Seq2Seq,0.972983048530621,v,With STL Decomp.
Seq2Seq,0.868757213093069,v,With STL Decomp.
Seq2Seq,0.905201317684453,v,With STL Decomp.
Seq2Seq,0.838990142355298,v,With STL Decomp.
Seq2Seq,0.865491396412565,v,With STL Decomp.
Seq2Seq,0.894274009313988,v,With STL Decomp.
Seq2Seq,0.973664313312688,v,With STL Decomp.
Seq2Seq,0.989896604664313,v,With STL Decomp.
S2SD Moving Win.,0.935736272035487,v,With STL Decomp.
S2SD Moving Win.,0.849061111553944,v,With STL Decomp.
S2SD Moving Win.,0.845463242728762,v,With STL Decomp.
S2SD Non Moving Win.,0.900342154213434,v,With STL Decomp.
S2SD Non Moving Win.,0.839102043738586,v,With STL Decomp.
S2SD Non Moving Win.,0.858556309584693,v,With STL Decomp.
S2SD Moving Win.,0.951775131817029,v,With STL Decomp.
S2SD Moving Win.,0.802328845123881,v,With STL Decomp.
S2SD Moving Win.,0.938219390844709,v,With STL Decomp.
S2SD Non Moving Win.,0.866827084826859,v,With STL Decomp.
S2SD Non Moving Win.,0.805378997030083,v,With STL Decomp.
S2SD Non Moving Win.,0.895133411920151,v,With STL Decomp.
S2SD Moving Win.,1.02012600635213,v,With STL Decomp.
S2SD Moving Win.,0.877994848737266,v,With STL Decomp.
S2SD Moving Win.,0.819557250026246,v,With STL Decomp.
S2SD Non Moving Win.,0.860992669694998,v,With STL Decomp.
S2SD Non Moving Win.,0.802544952337594,v,With STL Decomp.
S2SD Non Moving Win.,0.87200148464975,v,With STL Decomp.
Stacked,0.819301590681792,v,With STL Decomp.
Stacked,0.840315303763421,v,With STL Decomp.
Stacked,0.819344730904088,v,With STL Decomp.
Stacked,0.807745840475975,v,With STL Decomp.
Stacked,0.815814900667197,v,With STL Decomp.
Stacked,0.812124949037822,v,With STL Decomp.
Stacked,0.816084734557155,v,With STL Decomp.
Stacked,0.8244881071868,v,With STL Decomp.
Stacked,0.824729447031223,v,With STL Decomp.
Seq2Seq,2.17592002946201,v,Without STL Decomp.
Seq2Seq,1.62814657003139,v,Without STL Decomp.
Seq2Seq,1.96086573399407,v,Without STL Decomp.
Seq2Seq,1.88951959666772,v,Without STL Decomp.
Seq2Seq,1.47186211954827,v,Without STL Decomp.
Seq2Seq,1.75089918464571,v,Without STL Decomp.
Seq2Seq,2.00234861246018,v,Without STL Decomp.
Seq2Seq,1.52121652357697,v,Without STL Decomp.
Seq2Seq,1.67232662321341,v,Without STL Decomp.
S2SD Moving Win.,1.50009928559247,v,Without STL Decomp.
S2SD Moving Win.,1.13389603859447,v,Without STL Decomp.
S2SD Moving Win.,1.72902593353145,v,Without STL Decomp.
S2SD Non Moving Win.,1.15302194931312,v,Without STL Decomp.
S2SD Non Moving Win.,1.47344226137653,v,Without STL Decomp.
S2SD Non Moving Win.,1.29358518711659,v,Without STL Decomp.
S2SD Moving Win.,2.75203521101552,v,Without STL Decomp.
S2SD Moving Win.,1.25830320980725,v,Without STL Decomp.
S2SD Moving Win.,1.77962608383004,v,Without STL Decomp.
S2SD Non Moving Win.,1.24758666544329,v,Without STL Decomp.
S2SD Non Moving Win.,1.27996306034993,v,Without STL Decomp.
S2SD Non Moving Win.,2.20436156101065,v,Without STL Decomp.
S2SD Moving Win.,1.76004936448884,v,Without STL Decomp.
S2SD Moving Win.,1.1554478791155,v,Without STL Decomp.
S2SD Moving Win.,1.33474147280131,v,Without STL Decomp.
S2SD Non Moving Win.,1.37006401234596,v,Without STL Decomp.
S2SD Non Moving Win.,1.25821857172171,v,Without STL Decomp.
S2SD Non Moving Win.,1.1812612664204,v,Without STL Decomp.
Stacked,1.61803688013552,v,Without STL Decomp.
Stacked,1.43547388639501,v,Without STL Decomp.
Stacked,1.67746095517454,v,Without STL Decomp.
Stacked,1.50167918006225,v,Without STL Decomp.
Stacked,1.45011773948065,v,Without STL Decomp.
Stacked,1.38958882698452,v,Without STL Decomp.
Stacked,0.987698788750516,v,Without STL Decomp.
Stacked,1.47269026257547,v,Without STL Decomp.
Stacked,1.31811043200128,v,Without STL Decomp.
