Model_Name,MASE,x,Model
Seq2Seq,1.05075247916667,v,With STL Decomp.
Seq2Seq,1.39707133333333,v,With STL Decomp.
Seq2Seq,1.10419004166667,v,With STL Decomp.
Seq2Seq,1.29639314583333,v,With STL Decomp.
Seq2Seq,1.19184827083333,v,With STL Decomp.
Seq2Seq,1.17762804166667,v,With STL Decomp.
Seq2Seq,1.35878064583333,v,With STL Decomp.
Seq2Seq,1.1143494375,v,With STL Decomp.
Seq2Seq,1.16288629166667,v,With STL Decomp.
S2SD Moving Win.,1.00457097916667,v,With STL Decomp.
S2SD Moving Win.,1.03569295833333,v,With STL Decomp.
S2SD Moving Win.,1.05070958333333,v,With STL Decomp.
S2SD Non Moving Win.,1.0513944375,v,With STL Decomp.
S2SD Non Moving Win.,1.16441995833333,v,With STL Decomp.
S2SD Non Moving Win.,1.06661085416667,v,With STL Decomp.
S2SD Moving Win.,1.0069120625,v,With STL Decomp.
S2SD Moving Win.,1.03408377083333,v,With STL Decomp.
S2SD Moving Win.,1.02074135416667,v,With STL Decomp.
S2SD Non Moving Win.,1.0455479375,v,With STL Decomp.
S2SD Non Moving Win.,1.0362474375,v,With STL Decomp.
S2SD Non Moving Win.,1.05823822916667,v,With STL Decomp.
S2SD Moving Win.,1.0086801875,v,With STL Decomp.
S2SD Moving Win.,1.05517808333333,v,With STL Decomp.
S2SD Moving Win.,1.11436025,v,With STL Decomp.
S2SD Non Moving Win.,1.064617875,v,With STL Decomp.
S2SD Non Moving Win.,1.22560222916667,v,With STL Decomp.
S2SD Non Moving Win.,1.065697625,v,With STL Decomp.
Stacked,1.09549677083333,v,With STL Decomp.
Stacked,1.1009964375,v,With STL Decomp.
Stacked,1.120004625,v,With STL Decomp.
Stacked,1.061959625,v,With STL Decomp.
Stacked,1.09492683333333,v,With STL Decomp.
Stacked,1.12317708333333,v,With STL Decomp.
Stacked,1.1455781875,v,With STL Decomp.
Stacked,1.13035545833333,v,With STL Decomp.
Stacked,1.13223422916667,v,With STL Decomp.
S2SD Moving Win.,2.11951627083333,v,Without STL Decomp.
Stacked,1.6925893125,v,Without STL Decomp.
