Model_Name,SMAPE,x,Model
Seq2Seq,0.135326135301038,v,With STL Decomp.
Seq2Seq,0.145210296234407,v,With STL Decomp.
Seq2Seq,0.1361484981087,v,With STL Decomp.
Seq2Seq,0.141290751592896,v,With STL Decomp.
Seq2Seq,0.139852745945638,v,With STL Decomp.
Seq2Seq,0.140196736374147,v,With STL Decomp.
Seq2Seq,0.142424438983733,v,With STL Decomp.
Seq2Seq,0.138623584240739,v,With STL Decomp.
Seq2Seq,0.137977084256881,v,With STL Decomp.
S2SD Moving Win.,0.133776992936489,v,With STL Decomp.
S2SD Moving Win.,0.137891010981814,v,With STL Decomp.
S2SD Moving Win.,0.135743751460807,v,With STL Decomp.
S2SD Non Moving Win.,0.135127549297272,v,With STL Decomp.
S2SD Non Moving Win.,0.139245646066475,v,With STL Decomp.
S2SD Non Moving Win.,0.137536090236257,v,With STL Decomp.
S2SD Moving Win.,0.133895231802012,v,With STL Decomp.
S2SD Moving Win.,0.137602388671728,v,With STL Decomp.
S2SD Moving Win.,0.135933774786814,v,With STL Decomp.
S2SD Non Moving Win.,0.135038659419739,v,With STL Decomp.
S2SD Non Moving Win.,0.136161724201319,v,With STL Decomp.
S2SD Non Moving Win.,0.136606636017396,v,With STL Decomp.
S2SD Moving Win.,0.134173889924481,v,With STL Decomp.
S2SD Moving Win.,0.138268239946442,v,With STL Decomp.
S2SD Moving Win.,0.140146415523463,v,With STL Decomp.
S2SD Non Moving Win.,0.135173064669112,v,With STL Decomp.
S2SD Non Moving Win.,0.143238856708362,v,With STL Decomp.
S2SD Non Moving Win.,0.135698992250192,v,With STL Decomp.
Stacked,0.141512820584192,v,With STL Decomp.
Stacked,0.14292191128717,v,With STL Decomp.
Stacked,0.145747911340974,v,With STL Decomp.
Stacked,0.139726729761529,v,With STL Decomp.
Stacked,0.142265975662531,v,With STL Decomp.
Stacked,0.141276879592388,v,With STL Decomp.
Stacked,0.142963461954076,v,With STL Decomp.
Stacked,0.145144868835132,v,With STL Decomp.
Stacked,0.142372418845671,v,With STL Decomp.
S2SD Moving Win.,0.194698370462927,v,Without STL Decomp.
Stacked,0.177055568455374,v,Without STL Decomp.
