Model_Name,MASE,x,Model
Seq2Seq,1.74214827116032,v,With STL Decomp.
Seq2Seq,1.73733198054732,v,With STL Decomp.
Seq2Seq,1.73549424218209,v,With STL Decomp.
Seq2Seq,1.80960985906048,v,With STL Decomp.
Seq2Seq,1.69644086462456,v,With STL Decomp.
Seq2Seq,1.74929461460101,v,With STL Decomp.
Seq2Seq,1.75203198951284,v,With STL Decomp.
Seq2Seq,1.73904054131702,v,With STL Decomp.
Seq2Seq,1.79651206670063,v,With STL Decomp.
S2SD Moving Win.,1.62001289959221,v,With STL Decomp.
S2SD Moving Win.,1.58583085026563,v,With STL Decomp.
S2SD Moving Win.,1.63115939405803,v,With STL Decomp.
S2SD Non Moving Win.,1.8237607145231,v,With STL Decomp.
S2SD Non Moving Win.,1.76513374064808,v,With STL Decomp.
S2SD Non Moving Win.,1.79848365363355,v,With STL Decomp.
S2SD Moving Win.,1.74157026729292,v,With STL Decomp.
S2SD Moving Win.,1.70629643988951,v,With STL Decomp.
S2SD Moving Win.,1.65194300129482,v,With STL Decomp.
S2SD Non Moving Win.,1.72169285686126,v,With STL Decomp.
S2SD Non Moving Win.,1.71055166368169,v,With STL Decomp.
S2SD Non Moving Win.,1.74068788947696,v,With STL Decomp.
S2SD Moving Win.,1.63154114014332,v,With STL Decomp.
S2SD Moving Win.,1.65099632420841,v,With STL Decomp.
S2SD Moving Win.,1.59580722380345,v,With STL Decomp.
S2SD Non Moving Win.,1.82657860070033,v,With STL Decomp.
S2SD Non Moving Win.,1.68621120377271,v,With STL Decomp.
S2SD Non Moving Win.,1.63258909368821,v,With STL Decomp.
Stacked,1.8280054480197,v,With STL Decomp.
Stacked,1.89420908124801,v,With STL Decomp.
Stacked,1.86910360186883,v,With STL Decomp.
Stacked,1.7442790409488,v,With STL Decomp.
Stacked,1.949607178932,v,With STL Decomp.
Stacked,1.8104823902202,v,With STL Decomp.
Stacked,1.80462485302196,v,With STL Decomp.
Stacked,1.93620536845107,v,With STL Decomp.
Stacked,1.85053090469633,v,With STL Decomp.
Seq2Seq,9.75239865626528,v,Without STL Decomp.
Seq2Seq,4.15316093090579,v,Without STL Decomp.
Seq2Seq,6.78408226850608,v,Without STL Decomp.
Seq2Seq,3.72738349968621,v,Without STL Decomp.
Seq2Seq,2.82520997947511,v,Without STL Decomp.
Seq2Seq,4.25482791271945,v,Without STL Decomp.
Seq2Seq,4.29729309103862,v,Without STL Decomp.
Seq2Seq,4.42757927934741,v,Without STL Decomp.
Seq2Seq,3.83606150077011,v,Without STL Decomp.
S2SD Moving Win.,9.75239880983852,v,Without STL Decomp.
S2SD Moving Win.,3.23406320468642,v,Without STL Decomp.
S2SD Moving Win.,3.36125857268884,v,Without STL Decomp.
S2SD Non Moving Win.,9.75239933579882,v,Without STL Decomp.
S2SD Non Moving Win.,3.47223297298095,v,Without STL Decomp.
S2SD Non Moving Win.,2.84551437804521,v,Without STL Decomp.
S2SD Moving Win.,3.55858987672461,v,Without STL Decomp.
S2SD Moving Win.,3.44463271439785,v,Without STL Decomp.
S2SD Moving Win.,2.03806247601779,v,Without STL Decomp.
S2SD Non Moving Win.,2.19291105353336,v,Without STL Decomp.
S2SD Non Moving Win.,2.03198126393123,v,Without STL Decomp.
S2SD Non Moving Win.,2.85534173293824,v,Without STL Decomp.
S2SD Moving Win.,1.81899234499716,v,Without STL Decomp.
S2SD Moving Win.,2.60789189834359,v,Without STL Decomp.
S2SD Moving Win.,2.24189302129563,v,Without STL Decomp.
S2SD Non Moving Win.,3.38847020434534,v,Without STL Decomp.
S2SD Non Moving Win.,2.53282093113207,v,Without STL Decomp.
S2SD Non Moving Win.,2.2777296295136,v,Without STL Decomp.
Stacked,9.75239903702498,v,Without STL Decomp.
Stacked,3.53097051818112,v,Without STL Decomp.
Stacked,3.76371047564655,v,Without STL Decomp.
Stacked,2.00792446441831,v,Without STL Decomp.
Stacked,1.84240468534255,v,Without STL Decomp.
Stacked,2.20882249090521,v,Without STL Decomp.
Stacked,2.30277252248057,v,Without STL Decomp.
Stacked,1.75209018982698,v,Without STL Decomp.
Stacked,2.57868997539329,v,Without STL Decomp.
