Model_Name,SMAPE,x,Model
Seq2Seq,0.205686505874661,v,With STL Decomp.
Seq2Seq,0.20623256127344,v,With STL Decomp.
Seq2Seq,0.203459794609946,v,With STL Decomp.
Seq2Seq,0.209032924878144,v,With STL Decomp.
Seq2Seq,0.204972364530299,v,With STL Decomp.
Seq2Seq,0.205076839556429,v,With STL Decomp.
Seq2Seq,0.204405273490479,v,With STL Decomp.
Seq2Seq,0.206259950729876,v,With STL Decomp.
Seq2Seq,0.207720350316488,v,With STL Decomp.
S2SD Moving Win.,0.196969905827167,v,With STL Decomp.
S2SD Moving Win.,0.195019012377265,v,With STL Decomp.
S2SD Moving Win.,0.196675511973453,v,With STL Decomp.
S2SD Non Moving Win.,0.209878678743406,v,With STL Decomp.
S2SD Non Moving Win.,0.205048838266148,v,With STL Decomp.
S2SD Non Moving Win.,0.207991625839663,v,With STL Decomp.
S2SD Moving Win.,0.203639762140628,v,With STL Decomp.
S2SD Moving Win.,0.201787928077418,v,With STL Decomp.
S2SD Moving Win.,0.197589466363261,v,With STL Decomp.
S2SD Non Moving Win.,0.202242220988803,v,With STL Decomp.
S2SD Non Moving Win.,0.203311029992411,v,With STL Decomp.
S2SD Non Moving Win.,0.202898729662023,v,With STL Decomp.
S2SD Moving Win.,0.19582519329511,v,With STL Decomp.
S2SD Moving Win.,0.196908181634545,v,With STL Decomp.
S2SD Moving Win.,0.194370529891768,v,With STL Decomp.
S2SD Non Moving Win.,0.212711645449251,v,With STL Decomp.
S2SD Non Moving Win.,0.2003682469139,v,With STL Decomp.
S2SD Non Moving Win.,0.196755930572302,v,With STL Decomp.
Stacked,0.215649145425143,v,With STL Decomp.
Stacked,0.219206775205845,v,With STL Decomp.
Stacked,0.216559667565478,v,With STL Decomp.
Stacked,0.206064258672378,v,With STL Decomp.
Stacked,0.222788754028074,v,With STL Decomp.
Stacked,0.211248523909328,v,With STL Decomp.
Stacked,0.212385283597173,v,With STL Decomp.
Stacked,0.222214876330353,v,With STL Decomp.
Stacked,0.217202581277605,v,With STL Decomp.
Seq2Seq,1.9997470564106,v,Without STL Decomp.
Seq2Seq,0.481956037878181,v,Without STL Decomp.
Seq2Seq,0.951942111416153,v,Without STL Decomp.
Seq2Seq,0.414146596810119,v,Without STL Decomp.
Seq2Seq,0.326938316314688,v,Without STL Decomp.
Seq2Seq,0.484369865006325,v,Without STL Decomp.
Seq2Seq,0.498310854775917,v,Without STL Decomp.
Seq2Seq,0.512392676145103,v,Without STL Decomp.
Seq2Seq,0.436766684283669,v,Without STL Decomp.
S2SD Moving Win.,1.99974720353741,v,Without STL Decomp.
S2SD Moving Win.,0.360234544511302,v,Without STL Decomp.
S2SD Moving Win.,0.379126180628929,v,Without STL Decomp.
S2SD Non Moving Win.,1.99974749702449,v,Without STL Decomp.
S2SD Non Moving Win.,0.386266305566007,v,Without STL Decomp.
S2SD Non Moving Win.,0.315693183776495,v,Without STL Decomp.
S2SD Moving Win.,0.402650323630874,v,Without STL Decomp.
S2SD Moving Win.,0.385236394949299,v,Without STL Decomp.
S2SD Moving Win.,0.243441759310208,v,Without STL Decomp.
S2SD Non Moving Win.,0.254708952701807,v,Without STL Decomp.
S2SD Non Moving Win.,0.239062448714034,v,Without STL Decomp.
S2SD Non Moving Win.,0.315202958835253,v,Without STL Decomp.
S2SD Moving Win.,0.222898502039495,v,Without STL Decomp.
S2SD Moving Win.,0.307879104414239,v,Without STL Decomp.
S2SD Moving Win.,0.261567858028529,v,Without STL Decomp.
S2SD Non Moving Win.,0.38187760282384,v,Without STL Decomp.
S2SD Non Moving Win.,0.285495816356809,v,Without STL Decomp.
S2SD Non Moving Win.,0.258218770505492,v,Without STL Decomp.
Stacked,1.99974731895967,v,Without STL Decomp.
Stacked,0.386576062919093,v,Without STL Decomp.
Stacked,0.415191160499229,v,Without STL Decomp.
Stacked,0.234648605714384,v,Without STL Decomp.
Stacked,0.217288099668967,v,Without STL Decomp.
Stacked,0.252446107203719,v,Without STL Decomp.
Stacked,0.25362467678021,v,Without STL Decomp.
Stacked,0.206713666439632,v,Without STL Decomp.
Stacked,0.287050469152956,v,Without STL Decomp.
